Timestamp,Cell 1 Current,Cell 1 Voltage,Cell 2 Current,Cell 2 Voltage,Cell 2 Temp,Cell 3 Current,Cell 3 Voltage,Cell 4 Current,Cell 4 Voltage,Cell 4 Temp,Cell 5 Current,Cell 5 Voltage,Cell 6 Current,Cell 6 Voltage,Cell6 Temp,Cell 7 Current,Cell 7 Voltage,Cell 8 Current,Cell 8 Voltage,Cell8 Temp,Cell 9 Current,Cell 9 Voltage,Cell 9 Temp,Cell 10 Current,Cell 10 Voltage,Cell 11 Current,Cell 11 Voltage,Cell 11 Temp,Cell 12 Current,Cell 12 Voltage,Cell 13 Current,Cell 13 Voltage,Cell 13 Temp,Cell 14 Current,Cell 14 Voltage,Cell 15 Current,Cell 15 Voltage,Cell 15 Temp,Cell 16 Current,Cell 16 Voltage
09-27-2025-Sat 11-55-08-AM,110.3,5.528,119.0,5.532,22.4888,108.7,5.532,109.3,5.58,22.692,95.6,5.504,103.6,5.552,22.2526,102.5,5.5,114.9,5.488,22.4888,106.9,5.508,21.4752,113.4,5.512,101.5,5.516,21.6438,104.4,5.572,99.3,5.48,21.3736,109.7,5.544,104.5,5.472,21.8123,89.0,5.472
09-27-2025-Sat 11-55-11-AM,108.8,5.532,118.4,5.524,22.4888,107.7,5.528,108.9,5.58,22.6243,95.7,5.504,103.0,5.548,22.151,102.1,5.496,113.4,5.488,22.5565,106.9,5.512,21.543,112.5,5.516,100.4,5.52,21.6438,104.2,5.572,98.5,5.48,21.3736,108.0,5.548,104.0,5.472,21.6776,88.7,5.472
09-27-2025-Sat 11-55-13-AM,107.7,5.528,117.9,5.528,22.4888,107.4,5.532,108.1,5.58,22.692,95.1,5.508,103.3,5.552,22.3195,101.6,5.492,112.3,5.488,22.5227,,,21.6107,,,,,21.7115,,,,,21.4752,,,,,22.1171,,
09-27-2025-Sat 11-55-16-AM,110.5,5.624,122.1,5.624,22.4888,110.6,5.628,112.0,5.676,22.7251,99.0,5.6,107.2,5.644,22.151,105.0,5.588,114.7,5.584,22.5904,-0.1,3.24,21.6438,-0.1,2.372,-0.2,2.524,21.6438,-0.4,2.792,-0.2,2.428,21.4414,-0.2,1.48,-0.1,1.888,21.9139,-0.1,1.988
09-27-2025-Sat 11-55-20-AM,-0.3,1.968,-0.4,2.052,22.5565,-0.4,2.016,-0.3,2.064,22.7251,-0.1,2.064,0.0,2.156,22.2526,-0.1,2.12,0.0,1.244,22.5904,0.0,1.892,21.543,-0.1,1.052,-0.5,1.0,21.6438,0.0,1.192,-0.2,1.3,21.3398,0.0,0.796,0.0,1.52,21.6776,0.0,1.692
09-27-2025-Sat 11-55-23-AM,0.0,1.788,-0.4,1.88,22.5565,-0.1,1.852,-0.2,1.928,22.7251,-0.3,1.928,-0.1,2.02,22.2187,-0.3,1.98,-0.1,1.108,22.5904,-0.2,1.812,21.576,0.0,0.976,-0.1,0.904,21.6438,-0.1,1.044,-0.4,1.152,21.3059,-0.2,0.764,-0.2,1.372,21.6438,-0.1,1.624
09-27-2025-Sat 11-55-25-AM,-0.3,1.616,-0.1,1.772,22.5227,-0.3,1.72,-0.5,1.836,22.7928,-0.2,1.844,-0.4,1.936,22.2187,-0.3,1.88,-0.4,1.024,22.5565,0.0,1.748,21.576,-0.1,0.916,-0.1,0.836,21.6438,-0.3,0.943999,-0.2,1.052,21.3398,-0.1,0.732,-0.1,1.24,21.6107,-0.1,1.564
09-27-2025-Sat 11-55-28-AM,-0.3,1.464,-0.3,1.696,22.5227,-0.2,1.576,-0.3,1.776,22.7251,0.1,1.784,-0.2,1.872,22.2187,-0.3,1.808,-0.1,0.96,22.5565,0.0,1.68,21.576,-0.1,0.86,-0.3,0.78,21.6107,-0.2,0.864,-0.4,0.968,21.3059,-0.4,0.7,-0.1,1.116,21.6107,0.0,1.512
09-27-2025-Sat 11-55-33-AM,-0.1,1.22,0.1,1.532,22.4888,-0.1,1.216,-0.3,1.632,22.692,-0.3,1.656,-0.1,1.74,22.2187,-0.1,1.612,-0.1,0.82,22.5565,0.2,1.548,21.5091,0.0,0.78,-0.2,0.692,21.6107,-0.1,0.76,-0.7,0.856,21.3398,0.0,0.648,-0.1,0.976,21.6107,0.0,1.428
09-27-2025-Sat 11-55-36-AM,-0.1,1.164,-0.1,1.488,22.5565,-0.1,1.152,-0.3,1.596,22.7251,0.1,1.624,-0.3,1.708,22.2187,-0.2,1.544,-0.3,0.784,22.5227,-0.3,1.488,21.543,0.0,0.756,-0.3,0.672,21.6107,-0.1,0.724,-0.2,0.82,21.3059,-0.1,0.636,-0.2,0.94,21.6107,0.2,1.396
