File Name,Concentration,Saturation,Start time,Run time,Mean Current,Current stdev,Delta Current,Mean Temp,Temp STDEV,Delta Temp,Oxygen Production
06092025_10pct_caclo4_25pct_sat_ink_18v_new_fine_jsc_w_temp_sensor_1_cell_8_ko_nn.csv,conc,sat,1282,1000,0.05191646732174216,0.0013775195193137097,-0.008525848388600002,24.048183055637566,0.10093229898236332,0.3090631705,761707.6653899946
06092025_10pct_caclo4_25pct_sat_ink_18v_new_fine_jsc_w_temp_sensor_2_cell_10_ko_nn.csv,conc,sat,1275,1000,0.037248956335413794,0.0034153076057309825,-0.0183486938477,24.092730068727974,0.11682841101473736,0.3612789242000005,-21581.943722455428
06092025_10pct_caclo4_25pct_sat_ink_18v_new_fine_jsc_w_temp_sensor_3_cell_12_ko_nn.csv,conc,sat,1276,1000,0.047620436051986716,0.002362585639085313,-0.014381408691399998,24.078041619074128,0.2869501773474315,0.9112152901999977,755077.9452703155
06102025_10pct_caclo4_25pct_sat_ink_18v_new_fine_jsc_w_temp_sensor_1_cell_8_nn_ko_cell_leak.csv,conc,sat,735,1000,0.03812336421513087,0.0008328213252604296,-0.006484985351599998,25.73357892077442,0.8413066774985501,2.807889596900001,-238157.9599906397
06102025_10pct_caclo4_25pct_sat_ink_18v_new_fine_jsc_w_temp_sensor_2_cell_11_nn_ko.csv,conc,sat,740,1000,0.02934256752768911,0.001425463268240079,-0.011100769043,24.37971108975954,0.06357704644327646,-0.20160308939999894,549558.6563749447
06112025_10pct_caclo4_25pct_sat_ink_18v_new_fine_jsc_w_temp_sensor_1_cell_1_ko_nn'.csv,conc,sat,953,1000,0.021464512660191608,0.003457587617522126,-0.016651153564400004,25.59787622268821,0.48122983243667006,1.7553529262000005,1122955.8641919403
06112025_10pct_caclo4_25pct_sat_ink_18v_new_fine_jsc_w_temp_sensor_1_cell_3.csv,conc,sat,791,1000,0.02602917331082148,0.003492742441975437,-0.016498565673899998,24.11134424519111,0.10354942683199796,0.2930861636000017,164893.12194598015
06112025_10pct_caclo4_25pct_sat_ink_18v_new_fine_jsc_w_temp_sensor_2_cell_4_ko_nn.csv,conc,sat,938,1000,0.040662900789396904,0.0038844243134204437,-0.020656585693400002,26.87071072129081,1.0269567463675202,3.7934494407000017,1718230.9604434944
06112025_10pct_caclo4_25pct_sat_ink_18v_new_fine_jsc_w_temp_sensor_2_cell_7.5_ko_nn.csv,conc,sat,838,1000,0.025838286012084814,0.003691183805659123,-0.016307830810500003,24.25033232866853,0.30694773853143215,0.9749520495000006,347749.18401650956
06092025_10pct_caclo4_28pct_sat_ink_18v_new_fine_jsc_w_temp_sensor_1_cell_4_nn_ko.csv,conc,sat,1002,1000,0.023655658001667634,0.002943881206214069,-0.010871887207,23.844359020994105,0.49357722141510435,1.673186926499998,572670.3910632852
06092025_10pct_caclo4_28pct_sat_ink_18v_new_fine_jsc_w_temp_sensor_2_cell_14_nn_ko.csv,conc,sat,995,1000,0.019529763754313683,0.004102850641567777,-0.019016265869099998,23.516678432906396,0.2993729705670536,1.0519974448999996,918704.2216684899
06102025_10pct_caclo4_28pct_sat_ink_18v_new_fine_jsc_w_temp_sensor_3_cell_13_nn_ko.csv,conc,sat,740,1000,0.02946941288082158,0.0022812832049058933,-0.013866424560499996,24.875903568362936,0.3865453887048701,1.3600634424999996,136964.05527794478
06102025_10pct_caclo4_28pct_sat_ink_18v_new_fine_jsc_w_temp_sensor_4_cell_21_nn_ko_cell_leak.csv,conc,sat,732,1000,0.03690064132035105,0.002224908877111735,-0.016498565673899998,25.26570680734665,0.3835995251875834,1.2726014485999997,-79071.16193954952
06112025_10pct_caclo4_28pct_sat_ink_18v_new_fine_jsc_w_temp_sensor_3_cell_8_ko_nn.csv,conc,sat,945,1000,0.013827382029592309,0.0027023259152356423,-0.0082969665527,24.275446860079523,0.10279630815003336,0.3496311963000025,574733.0295821202
06112025_10pct_caclo4_28pct_sat_ink_18v_new_fine_jsc_w_temp_sensor_4_cell_10_ko_nn.csv,conc,sat,944,1000,0.049804721797977826,0.0038170048046242255,-0.021839141845700002,26.104498838195905,0.861369330137299,2.961595968400001,1750092.1228594952
06112025_10pct_caclo4_28pct_sat_ink_18v_new_fine_jsc_w_temp_sensor_4_cell_20_ko_nn_o_ring_slip.csv,conc,sat,844,1000,0.023047002283607395,0.004202184358428009,-0.019092559814499997,23.88682216331988,0.15355681771593616,0.45432657059999926,-350411.9509705852
06162025_10pct_caclo4_28pct_sat_ink_18v_new_fine_jsc_w_temp_sensor_1_cell_1_ko_nn.csv,conc,sat,1358,1000,0.043100267499836864,0.004605602356249475,-0.0199699401856,26.531399707003498,1.0705215792207337,3.7945778807999986,217621.6425533201
06162025_10pct_caclo4_28pct_sat_ink_18v_new_fine_jsc_w_temp_sensor_1_cell_3_nn_ko.csv,conc,sat,1250,1000,0.05317032515824176,0.0026287984896219137,-0.015220642089799993,24.10291257876913,0.19493942100262815,0.5730768682000011,-294711.3473821047
06162025_10pct_caclo4_28pct_sat_ink_18v_new_fine_jsc_w_temp_sensor_3_cell_8_nn_ko.csv,conc,sat,1260,1000,0.04372243281011109,0.0038415655857230685,-0.015735626220699996,23.76735031107103,0.13065440145683926,0.3701523356999985,-500642.98732532957
06162025_10pct_caclo4_28pct_sat_ink_18v_new_fine_jsc_w_temp_sensor_4_cell_15_ko_nn.csv,conc,sat,1353,1000,0.04452109932304356,0.004886849741939156,-0.028018951416,26.26438483904346,0.9439097509206541,3.3605658725000005,671989.6914187295
