Cell 9 Timestamp,30pct Cell 9 Current,30pct Cell 9 Voltage,30pct Cell 9 Temp,Cell 9 Resistance,Cell 10 Timestamp,30pct Cell 10 Current,30pct Cell 10 Voltage,30pct Cell 10 Temp,Cell 10 Resistance,Cell 11 Timestamp,30pct Cell 11 Current,30pct Cell 11 Voltage,30pct Cell 11 Temp,Cell 11 Resistance,Cell 12 Timestamp,30pct Cell 12 Current,30pct Cell 12 Voltage,30pct Cell 12 Temp,Cell 12 Resistance,Cell 13 Timestamp,35pct Cell 13 Current,35pct Cell 13 Voltage,35pct Cell 13 Temp,Cell 13 Resistance,Cell 14 Timestamp,35pct Cell 14 Current,35pct Cell 14 Voltage,35pct Cell 14 Temp,Cell 14 Resistance,Cell 15 Timestamp,35pct Cell 15 Current,35pct Cell 15 Voltage,35pct Cell 15 Temp,Cell 15 Resistance,Cell 16 Timestamp,35pct Cell 16 Current,35pct Cell 16 Voltage,35pct Cell 16 Temp,Cell 16 Resistance
09-05-2025-Fri 21-07-08-PM,0.2,5.904,-98.4713,36.9,09-05-2025-Fri 21-07-08-PM,-0.1,5.916,-96.937,-73.95,09-05-2025-Fri 21-07-08-PM,-0.1,5.916,-96.5588,-73.95,09-05-2025-Fri 21-07-08-PM,-0.1,5.912,-95.175,-73.9,09-05-2025-Fri 21-07-08-PM,-0.1,5.908,-94.2227,-73.85,09-05-2025-Fri 21-07-08-PM,0,5.92,-94.612,inf,09-05-2025-Fri 21-07-08-PM,-0.1,5.908,-95.456,-73.85,09-05-2025-Fri 21-07-08-PM,0.2,5.912,-95.862,36.95
09-05-2025-Fri 21-07-10-PM,0.3,5.908,-98.5036,24.6167,09-05-2025-Fri 21-07-10-PM,0.1,5.916,-96.937,73.95,09-05-2025-Fri 21-07-10-PM,0.1,5.916,-96.5588,73.95,09-05-2025-Fri 21-07-10-PM,-0.2,5.916,-95.175,-36.975,09-05-2025-Fri 21-07-10-PM,-0.1,5.908,-94.2227,-73.85,09-05-2025-Fri 21-07-10-PM,0.2,5.92,-94.601,37,09-05-2025-Fri 21-07-10-PM,-0.1,5.908,-95.4235,-73.85,09-05-2025-Fri 21-07-10-PM,0.2,5.912,-95.845,36.95
09-05-2025-Fri 21-07-13-PM,0.1,5.908,-98.5036,73.85,09-05-2025-Fri 21-07-13-PM,0.5,5.916,-96.937,14.79,09-05-2025-Fri 21-07-13-PM,-0.1,5.916,-96.5588,-73.95,09-05-2025-Fri 21-07-13-PM,-0.1,5.916,-95.175,-73.95,09-05-2025-Fri 21-07-13-PM,0.1,5.904,-94.2227,73.8,09-05-2025-Fri 21-07-13-PM,-0.1,5.92,-94.612,-74,09-05-2025-Fri 21-07-13-PM,0.4,5.908,-95.4235,18.4625,09-05-2025-Fri 21-07-13-PM,0.1,5.912,-95.845,73.9
09-05-2025-Fri 21-07-15-PM,0.1,5.908,-98.4713,73.85,09-05-2025-Fri 21-07-15-PM,-0.1,5.916,-96.915,-73.95,09-05-2025-Fri 21-07-15-PM,0,5.916,-96.5588,inf,09-05-2025-Fri 21-07-15-PM,0,5.912,-95.153,inf,09-05-2025-Fri 21-07-15-PM,-0.1,5.908,-94.2552,-73.85,09-05-2025-Fri 21-07-15-PM,0,5.92,-94.634,inf,09-05-2025-Fri 21-07-15-PM,0,5.908,-95.456,inf,09-05-2025-Fri 21-07-15-PM,0,5.912,-95.862,inf
09-05-2025-Fri 21-07-17-PM,0,5.908,-98.4713,inf,09-05-2025-Fri 21-07-17-PM,0.1,5.916,-96.937,73.95,09-05-2025-Fri 21-07-17-PM,-0.3,5.912,-96.5588,-24.6333,09-05-2025-Fri 21-07-17-PM,-0.2,5.912,-95.185,-36.95,09-05-2025-Fri 21-07-17-PM,-0.2,5.904,-94.2552,-36.9,09-05-2025-Fri 21-07-17-PM,0,5.92,-94.645,inf,09-05-2025-Fri 21-07-17-PM,-0.1,5.908,-95.456,-73.85,09-05-2025-Fri 21-07-17-PM,0.2,5.912,-95.862,36.95
09-05-2025-Fri 21-07-20-PM,0.2,5.904,-98.4713,36.9,09-05-2025-Fri 21-07-20-PM,0.2,5.916,-96.937,36.975,09-05-2025-Fri 21-07-20-PM,-0.3,5.916,-96.5912,-24.65,09-05-2025-Fri 21-07-20-PM,-0.2,5.912,-95.207,-36.95,09-05-2025-Fri 21-07-20-PM,-0.2,5.908,-94.2552,-36.925,09-05-2025-Fri 21-07-20-PM,0.2,5.92,-94.634,37,09-05-2025-Fri 21-07-20-PM,0.4,5.908,-95.456,18.4625,09-05-2025-Fri 21-07-20-PM,0.1,5.912,-95.845,73.9
09-05-2025-Fri 21-07-22-PM,0.1,5.908,-98.4713,73.85,09-05-2025-Fri 21-07-22-PM,0.1,5.916,-96.937,73.95,09-05-2025-Fri 21-07-22-PM,0,5.912,-96.5588,inf,09-05-2025-Fri 21-07-22-PM,-0.1,5.908,-95.175,-73.85,09-05-2025-Fri 21-07-22-PM,-0.3,5.904,-94.2552,-24.6,09-05-2025-Fri 21-07-22-PM,0.1,5.92,-94.623,74,09-05-2025-Fri 21-07-22-PM,0.1,5.908,-95.4235,73.85,09-05-2025-Fri 21-07-22-PM,0.3,5.912,-95.845,24.6333
09-05-2025-Fri 21-07-24-PM,0,5.908,-98.4713,inf,09-05-2025-Fri 21-07-24-PM,0.1,5.916,-96.937,73.95,09-05-2025-Fri 21-07-24-PM,-0.1,5.916,-96.5588,-73.95,09-05-2025-Fri 21-07-24-PM,-0.4,5.912,-95.185,-18.475,09-05-2025-Fri 21-07-24-PM,0.1,5.908,-94.2227,73.85,09-05-2025-Fri 21-07-24-PM,0,5.924,-94.623,inf,09-05-2025-Fri 21-07-24-PM,0.1,5.908,-95.456,73.85,09-05-2025-Fri 21-07-24-PM,0.1,5.912,-95.862,73.9
,,,,,09-05-2025-Fri 20-03-15-PM,0.1,5.912,-58.328,73.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,09-05-2025-Fri 20-03-18-PM,0.5,5.912,-58.405,14.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
