Timestamp,0pct Cell 1 Temp,0pct Cell 3 Temp,0pct Cell 5 Temp,0pct Cell 7 Temp,15pct Cell 10 Temp,15pct Cell 12 Temp,10pct Cell 14 Temp,10pct Cell 16 Temp
09-12-2025-Fri 10-14-01-AM,21.644,21.565,21.667,21.813,21.52,21.52,21.655,21.864
09-12-2025-Fri 10-14-04-AM,21.593,21.599,21.689,21.802,21.498,21.554,21.644,21.847
09-12-2025-Fri 10-14-06-AM,21.644,21.621,21.678,21.813,21.52,21.531,21.644,21.864
09-12-2025-Fri 10-14-08-AM,21.56,21.565,21.678,21.79,21.452,21.531,21.644,21.847
09-12-2025-Fri 10-14-11-AM,21.56,21.576,21.666,21.779,21.452,21.509,21.633,21.813
09-12-2025-Fri 10-14-13-AM,21.526,21.588,21.655,21.756,21.441,21.52,21.599,21.796
09-12-2025-Fri 10-14-16-AM,21.458,21.542,21.644,21.768,21.385,21.498,21.599,21.813
09-12-2025-Fri 10-14-18-AM,21.458,21.565,21.633,21.745,21.385,21.498,21.588,21.796
09-12-2025-Fri 10-14-20-AM,21.391,21.531,21.621,21.734,21.329,21.475,21.588,21.779
09-12-2025-Fri 10-14-23-AM,21.323,21.487,21.588,21.712,21.284,21.442,21.554,21.745
09-12-2025-Fri 10-14-25-AM,21.289,21.487,21.566,21.689,21.261,21.43,21.532,21.728
09-12-2025-Fri 10-14-27-AM,21.188,21.441,21.531,21.655,21.194,21.408,21.498,21.695
09-12-2025-Fri 10-14-30-AM,21.12,21.385,21.52,21.644,21.126,21.374,21.486,21.678
09-12-2025-Fri 10-14-32-AM,21.002,21.34,21.486,21.621,21.047,21.34,21.441,21.644
09-12-2025-Fri 10-14-35-AM,20.917,21.284,21.464,21.576,20.979,21.317,21.408,21.593
09-12-2025-Fri 10-14-37-AM,20.85,21.238,21.396,21.543,20.923,21.261,21.374,21.576
09-12-2025-Fri 10-14-40-AM,20.749,21.182,21.362,21.509,20.833,21.205,21.328,21.525
09-12-2025-Fri 10-14-42-AM,20.697,21.148,21.329,21.475,20.788,21.16,21.284,21.475
09-12-2025-Fri 10-14-44-AM,20.664,21.148,21.295,21.452,20.743,21.126,21.249,21.475
09-12-2025-Fri 10-14-47-AM,20.512,21.069,21.272,21.408,20.63,21.103,21.205,21.424
09-12-2025-Fri 10-14-49-AM,20.479,21.036,21.216,21.362,20.597,21.047,21.16,21.374
09-12-2025-Fri 10-14-52-AM,20.411,20.991,21.182,21.328,20.529,21.002,21.126,21.34
09-12-2025-Fri 10-14-54-AM,20.292,20.912,21.126,21.295,20.439,20.946,21.081,21.306
09-12-2025-Fri 10-14-56-AM,20.276,20.912,21.115,21.25,20.394,20.912,21.047,21.256
09-12-2025-Fri 10-14-59-AM,20.191,20.844,21.069,21.227,20.315,20.844,21.013,21.221
09-12-2025-Fri 10-15-01-AM,20.157,20.833,21.013,21.194,20.292,20.799,20.968,21.188
09-12-2025-Fri 10-15-03-AM,20.04,20.732,20.99,21.148,20.18,20.754,20.934,21.137
09-12-2025-Fri 10-15-06-AM,19.972,20.687,21.002,21.036,20.113,20.765,20.867,21.002
09-12-2025-Fri 10-15-08-AM,19.904,20.664,20.99,21.115,20.079,20.72,20.923,21.053
09-12-2025-Fri 10-15-11-AM,19.871,20.642,20.923,21.092,20.045,20.698,20.912,21.104
09-12-2025-Fri 10-15-13-AM,19.786,20.54,20.867,21.092,19.955,20.585,20.89,21.07
09-12-2025-Fri 10-15-15-AM,19.719,20.551,20.867,21.115,19.91,20.608,20.912,21.137
09-12-2025-Fri 10-15-18-AM,19.685,20.495,20.811,21.104,19.854,20.518,20.934,21.12
09-12-2025-Fri 10-15-20-AM,19.617,20.428,20.811,21.036,19.797,20.518,20.867,21.036
09-12-2025-Fri 10-15-22-AM,19.566,20.405,20.765,20.934,19.741,20.461,20.811,20.901
09-12-2025-Fri 10-15-25-AM,19.566,20.439,20.664,20.833,19.741,20.371,20.608,20.766
09-12-2025-Fri 10-15-27-AM,19.398,20.315,20.608,20.777,19.606,20.304,20.551,20.698
09-12-2025-Fri 10-15-30-AM,19.313,20.259,20.551,20.732,19.538,20.259,20.506,20.664
09-12-2025-Fri 10-15-32-AM,19.246,20.214,20.506,20.675,19.471,20.202,20.45,20.596
09-12-2025-Fri 10-15-34-AM,19.212,20.214,20.473,20.642,19.437,20.169,20.405,20.563
09-12-2025-Fri 10-15-37-AM,19.094,20.101,20.394,20.574,19.336,20.09,20.349,20.495
09-12-2025-Fri 10-15-39-AM,19.043,20.112,20.405,20.54,19.279,20.079,20.304,20.444
09-12-2025-Fri 10-15-42-AM,18.959,20.056,20.371,20.507,19.212,20.034,20.281,20.394
09-12-2025-Fri 10-15-44-AM,18.925,20.0,20.304,20.461,19.156,19.943,20.225,20.343
09-12-2025-Fri 10-15-47-AM,18.824,19.91,20.236,20.405,19.066,19.876,20.18,20.292
09-12-2025-Fri 10-15-49-AM,18.79,19.921,20.236,20.36,19.032,19.876,20.135,20.242
09-12-2025-Fri 10-15-51-AM,18.739,19.876,20.18,20.326,18.976,19.809,20.09,20.208
09-12-2025-Fri 10-15-54-AM,18.655,19.786,20.112,20.27,18.897,19.73,20.034,20.14
09-12-2025-Fri 10-15-56-AM,18.604,19.774,20.101,20.236,18.84,19.707,20.0,20.107
09-12-2025-Fri 10-15-58-AM,18.52,19.707,20.056,20.18,18.762,19.651,19.943,20.039
09-12-2025-Fri 10-16-01-AM,18.419,19.606,19.977,20.135,18.672,19.572,19.898,20.005
09-12-2025-Fri 10-16-04-AM,18.368,19.583,19.955,20.09,18.615,19.538,19.842,19.955
09-12-2025-Fri 10-16-08-AM,18.317,19.527,19.887,20.045,18.559,19.46,19.797,19.904
09-12-2025-Fri 10-16-13-AM,18.216,19.426,19.809,19.977,18.447,19.358,19.73,19.836
09-12-2025-Fri 10-16-15-AM,18.014,19.324,19.752,19.865,18.289,19.313,19.639,19.718
09-12-2025-Fri 10-16-18-AM,18.014,19.313,19.718,19.842,18.267,19.256,19.595,19.685
09-12-2025-Fri 10-16-20-AM,17.912,19.189,19.628,19.775,18.165,19.156,19.527,19.617
09-12-2025-Fri 10-16-23-AM,17.861,19.178,19.64,19.741,18.109,19.144,19.505,19.566
09-12-2025-Fri 10-16-25-AM,17.76,19.122,19.583,19.707,18.042,19.111,19.471,19.549
09-12-2025-Fri 10-16-27-AM,17.71,19.043,19.504,19.662,17.974,19.009,19.403,19.499
09-12-2025-Fri 10-16-30-AM,17.642,18.987,19.493,19.606,17.907,18.987,19.381,19.432
09-12-2025-Fri 10-16-32-AM,17.575,18.93,19.426,19.572,17.85,18.919,19.324,19.398
09-12-2025-Fri 10-16-34-AM,17.558,18.885,19.381,19.538,17.817,18.863,19.302,19.364
09-12-2025-Fri 10-16-37-AM,17.474,18.852,19.358,19.482,17.738,18.84,19.246,19.313
09-12-2025-Fri 10-16-39-AM,17.457,18.818,19.313,19.437,17.704,18.784,19.201,19.262
09-12-2025-Fri 10-16-42-AM,17.338,18.739,19.268,19.403,17.614,18.739,19.167,19.228
09-12-2025-Fri 10-16-44-AM,17.305,18.728,19.234,19.347,17.58,18.716,19.111,19.178
09-12-2025-Fri 10-16-46-AM,17.237,18.683,19.212,19.302,17.501,18.672,19.066,19.128
09-12-2025-Fri 10-16-49-AM,17.153,18.593,19.156,19.268,17.434,18.616,19.054,19.094
09-12-2025-Fri 10-16-51-AM,17.119,18.571,19.1,19.201,17.389,18.559,18.976,19.026
09-12-2025-Fri 10-16-53-AM,17.069,18.525,19.077,19.178,17.333,18.514,18.953,18.992
09-12-2025-Fri 10-16-56-AM,17.001,18.446,19.009,19.133,17.277,18.446,18.908,18.941
09-12-2025-Fri 10-16-58-AM,17.018,18.447,18.975,19.077,17.266,18.413,18.863,18.891
