,Timestamp,mA 1,V1,mA 2,V2,mA 3,V3,mA 4,V4,mA 5,V5,mA 6,V6,mA 7,V7,mA 8,V8,Timestamp,mA 1,V1,mA 2,V2,mA 3,V3,mA 4,V4,mA 5,V5,mA 6,V6,mA 7,V7,mA 8,V8,Timestamp,T1 - COM15,T2 - COM15,T3 - COM18,T4 - COM18,T5 - COM16,T6 - COM16,T7 - COM14,T8 - COM14
2086,,1.2,5.956,1.5,5.96,1.5,5.964,1.4,5.964,0.7,5.964,0.8,5.964,0.5,5.964,0.9,5.964,,,,,,,,,,,,,,,,,,,-54.0199,-54.1519,-54.3828,-55.4054,-61.5326,-59.5906,-58.899,-57.5811
2087,,1.2,5.956,1.4,5.96,1.4,5.96,1.2,5.964,0.9,5.968,0.7,5.96,0.5,5.964,0.9,5.96,,0.5,5.952,0.4,5.96,0.5,5.964,0.6,5.96,0.1,5.952,0.4,5.964,0.5,5.952,0.5,5.96,,-54.0199,-54.2179,-54.4488,-55.4714,-61.6314,-59.6236,-58.932,-57.6141
2088,,1.0,5.956,1.6,5.964,1.5,5.964,1.3,5.968,0.9,5.964,0.8,5.964,0.6,5.964,0.7,5.96,,0.4,5.956,0.5,5.96,0.5,5.964,0.5,5.96,0.2,5.952,0.5,5.964,0.2,5.952,0.3,5.956,,-54.0859,-54.3168,-54.5148,-55.5044,-61.6643,-59.6894,-59.0307,-57.68
2089,,0.8,5.952,1.3,5.96,1.5,5.96,1.2,5.964,0.9,5.964,0.8,5.964,0.6,5.964,0.5,5.96,,0.6,5.952,0.4,5.96,0.6,5.96,0.4,5.956,0.3,5.952,0.5,5.964,0.5,5.952,0.3,5.956,,-54.1189,-54.3168,-54.5478,-55.5374,-61.7301,-59.7882,-59.0636,-57.7459
2090,,1.0,5.956,1.2,5.96,1.6,5.96,1.3,5.968,1.0,5.964,0.6,5.96,0.6,5.964,0.4,5.964,,0.2,5.952,0.5,5.96,0.5,5.96,0.3,5.96,0.0,5.952,0.6,5.964,0.4,5.952,0.2,5.956,,-54.1849,-54.3168,-54.5808,-55.6032,-61.8288,-59.854,-59.1625,-57.8119
2091,,0.9,5.956,1.4,5.96,1.1,5.964,1.0,5.968,0.9,5.964,0.7,5.964,0.7,5.964,0.6,5.964,,0.2,5.956,0.2,5.964,0.3,5.964,0.7,5.96,0.4,5.952,0.4,5.964,0.2,5.952,0.5,5.956,,-54.2179,-54.3828,-54.6137,-55.6692,-61.8947,-59.8869,-59.2283,-57.8448
2102,,0.8,5.956,1.3,5.964,1.3,5.964,1.2,5.968,0.5,5.968,0.6,5.964,0.7,5.964,0.8,5.964,,,,,,,,,,,,,,,,,,,-54.7457,-54.9107,-55.1746,-56.1968,-62.6512,-60.5125,-59.8869,-58.4378
2103,,0.7,5.956,1.3,5.956,1.5,5.964,0.8,5.964,0.6,5.964,0.7,5.964,0.6,5.964,0.6,5.964,,0.3,5.952,0.3,5.96,0.3,5.96,0.4,5.96,0.1,5.952,0.1,5.964,0.3,5.952,0.6,5.96,,-54.8117,-54.9107,-55.2076,-56.2626,-62.7499,-60.5783,-59.9199,-58.5037
2104,,0.9,5.952,0.8,5.964,1.1,5.964,0.9,5.968,0.8,5.964,0.5,5.964,0.5,5.968,0.9,5.964,,0.5,5.956,0.4,5.96,0.1,5.964,0.3,5.96,0.0,5.952,0.2,5.968,0.2,5.952,0.2,5.956,,-54.8117,-54.9107,-55.2734,-56.2626,-62.7828,-60.6112,-59.9857,-58.5367
2105,,0.8,5.956,1.1,5.96,1.6,5.964,1.0,5.972,0.9,5.964,0.7,5.96,0.5,5.964,0.4,5.964,,0.4,5.952,0.2,5.96,0.4,5.964,0.6,5.96,0.0,5.952,0.4,5.968,0.1,5.952,0.5,5.956,,-54.8777,-54.9436,-55.3065,-56.3287,-62.8485,-60.7099,-60.0845,-58.6026
2106,,0.8,5.956,1.2,5.96,1.5,5.964,0.8,5.968,1.0,5.964,0.7,5.964,0.7,5.964,0.6,5.964,,0.5,5.956,0.1,5.96,0.1,5.96,0.4,5.964,0.0,5.952,0.3,5.964,0.3,5.956,0.5,5.956,,-54.9766,-55.0426,-55.3724,-56.4275,-62.9144,-60.7428,-60.1174,-58.6684
2107,,0.9,5.956,0.8,5.964,1.1,5.964,1.1,5.964,0.5,5.968,0.6,5.964,0.7,5.964,0.4,5.968,,0.2,5.952,0.4,5.964,0.4,5.964,0.3,5.964,0.0,5.952,0.2,5.964,0.3,5.952,0.5,5.956,,-54.8777,-55.1746,-55.4383,-56.4275,-62.9801,-60.8087,-60.1833,-58.7342
2108,,0.7,5.96,1.1,5.964,1.3,5.96,1.0,5.968,1.0,5.968,0.5,5.964,0.5,5.964,0.5,5.964,,0.3,5.956,0.5,5.96,0.5,5.964,0.5,5.96,0.1,5.952,0.3,5.968,0.5,5.952,0.1,5.956,,-54.9766,-55.1416,-55.4383,-56.4935,-63.0459,-60.8416,-60.2491,-58.7672
2109,,0.6,5.956,1.1,5.964,1.0,5.968,0.9,5.972,0.8,5.968,0.9,5.964,0.5,5.964,0.5,5.968,,0.1,5.956,0.2,5.96,0.2,5.964,0.6,5.96,0.3,5.952,0.5,5.968,0.3,5.952,0.2,5.96,,-55.0096,-55.1085,-55.5044,-56.5595,-63.0788,-60.9075,-60.3149,-58.8002
2110,,0.9,5.956,0.8,5.964,1.5,5.964,1.2,5.972,0.6,5.964,0.6,5.964,0.5,5.964,0.7,5.964,,0.4,5.952,0.3,5.964,0.1,5.964,0.6,5.96,0.2,5.952,0.3,5.968,0.5,5.956,0.6,5.96,,-55.1416,-55.2076,-55.5374,-56.5595,-63.1445,-60.9404,-60.3478,-58.8661
2129,,0.8,5.964,1.1,5.964,1.1,5.964,0.7,5.972,0.8,5.964,0.4,5.964,0.4,5.968,0.7,5.968,,,,,,,,,,,,,,,,,,,-56.0649,-56.1638,-56.5923,-57.6141,-64.2953,-62.0591,-61.4998,-59.9528
2130,,0.8,5.96,0.9,5.964,1.3,5.964,0.7,5.972,0.5,5.964,0.7,5.968,0.4,5.964,0.5,5.968,,0.6,5.956,0.3,5.964,0.0,5.964,0.5,5.964,0.0,5.956,0.4,5.968,0.4,5.956,0.3,5.96,,-56.0649,-56.1309,-56.5923,-57.6471,-64.328,-62.092,-61.5326,-59.9857
2131,,0.7,5.96,0.9,5.96,1.3,5.964,0.9,5.972,0.9,5.964,0.5,5.964,0.4,5.964,0.7,5.968,,0.6,5.956,0.3,5.964,0.2,5.964,0.6,5.968,0.2,5.956,0.1,5.972,0.4,5.956,0.2,5.964,,-56.2298,-56.2298,-56.6913,-57.713,-64.361,-62.1578,-61.5985,-60.0186
2132,,0.5,5.96,1.2,5.964,1.2,5.968,0.5,5.972,0.6,5.968,0.6,5.964,0.5,5.964,0.7,5.964,,0.3,5.956,0.1,5.96,0.5,5.968,0.3,5.964,-0.1,5.952,0.2,5.968,0.3,5.956,0.1,5.96,,-56.1968,-56.2298,-56.6913,-57.713,-64.3938,-62.1906,-61.6314,-60.0515
2133,,0.7,5.956,0.7,5.964,1.0,5.968,0.7,5.968,0.6,5.964,0.6,5.964,0.7,5.968,0.4,5.968,,0.1,5.956,0.4,5.964,0.2,5.964,0.0,5.96,0.3,5.956,0.2,5.968,0.3,5.956,0.5,5.96,,-56.1968,-56.2626,-56.7572,-57.7789,-64.4596,-62.2565,-61.6971,-60.1174
2135,,0.6,5.956,1.0,5.968,1.2,5.964,0.8,5.972,0.9,5.968,0.6,5.964,0.5,5.968,0.5,5.964,,0.3,5.952,0.4,5.964,0.6,5.964,0.5,5.96,0.2,5.956,0.3,5.968,0.5,5.956,0.4,5.96,,-56.3946,-56.3616,-56.8891,-57.9106,-64.5911,-62.3881,-61.8288,-60.2491
2136,,0.5,5.96,0.9,5.964,1.2,5.968,0.6,5.968,0.4,5.964,0.4,5.968,0.2,5.968,0.3,5.968,,0.4,5.956,0.3,5.96,0.2,5.968,0.3,5.964,0.1,5.952,0.3,5.964,0.1,5.956,0.3,5.96,,-56.3946,-56.4935,-56.9219,-57.9437,-64.5911,-62.421,-61.8617,-60.282
2151,,0.8,5.964,0.6,5.968,0.9,5.968,0.8,5.972,0.7,5.968,0.4,5.968,0.4,5.968,0.4,5.968,,,,,,,,,,,,,,,,,,,-57.0539,-56.9879,-57.5153,-58.5696,-65.2155,-63.0788,-62.4868,-60.9404
2152,,0.9,5.96,0.7,5.964,0.7,5.964,0.8,5.972,0.6,5.968,0.4,5.968,0.6,5.968,0.6,5.968,,0.4,5.956,0.4,5.964,0.2,5.968,0.0,5.964,0.2,5.956,0.3,5.968,0.2,5.956,0.2,5.96,,-57.0539,-57.0539,-57.5483,-58.6355,-65.2484,-63.1445,-62.5526,-60.9732
2153,,0.6,5.96,0.7,5.964,0.8,5.968,0.6,5.972,0.4,5.968,0.6,5.964,0.3,5.968,0.6,5.968,,0.4,5.956,0.4,5.964,0.3,5.964,0.5,5.964,-0.1,5.956,0.2,5.968,0.4,5.96,0.5,5.964,,-57.1858,-57.0868,-57.6141,-58.6355,-65.2812,-63.1774,-62.5526,-61.039
2154,,0.8,5.96,0.7,5.964,0.9,5.964,0.6,5.968,0.4,5.968,0.7,5.964,0.4,5.968,0.5,5.968,,0.3,5.956,0.1,5.964,0.2,5.964,0.3,5.968,0.3,5.956,0.3,5.972,0.3,5.956,0.2,5.96,,-57.2187,-57.1198,-57.6471,-58.7014,-65.2812,-63.1774,-62.6512,-61.039
2155,,0.8,5.956,0.7,5.964,0.7,5.968,0.7,5.968,0.6,5.968,0.3,5.968,0.2,5.968,0.4,5.964,,0.4,5.956,0.2,5.964,0.2,5.964,0.3,5.964,0.2,5.956,0.4,5.972,0.2,5.956,0.2,5.964,,-57.2515,-57.1528,-57.6471,-58.7672,-65.3468,-63.2432,-62.6512,-61.1378
2156,,0.8,5.96,0.8,5.968,1.0,5.968,0.5,5.972,0.5,5.968,0.5,5.968,0.3,5.968,0.6,5.968,,0.0,5.96,0.2,5.964,0.1,5.964,0.2,5.964,0.3,5.956,0.4,5.968,0.1,5.956,0.4,5.964,,-57.2187,-57.2187,-57.713,-58.8002,-65.3797,-63.2761,-62.684,-61.1378
2157,,0.8,5.96,0.6,5.968,0.9,5.968,0.7,5.972,0.8,5.968,0.3,5.972,0.4,5.968,0.5,5.968,,0.2,5.96,0.4,5.964,0.5,5.968,0.4,5.96,0.2,5.952,0.0,5.968,0.2,5.96,0.2,5.964,,-57.2187,-57.3175,-57.7459,-58.8331,-65.4126,-63.309,-62.717,-61.2036
2176,,0.6,5.964,0.6,5.968,0.7,5.964,0.5,5.972,0.4,5.968,0.4,5.968,0.6,5.968,0.4,5.968,,,,,,,,,,,,,,,,,,,-58.0425,-58.0095,-58.5037,-59.6894,-66.0696,-64.0652,-63.4734,-61.9604
2177,,0.5,5.96,0.4,5.964,0.9,5.968,0.6,5.968,0.6,5.964,0.4,5.968,0.6,5.968,0.2,5.964,,0.4,5.956,0.1,5.964,0.0,5.964,0.1,5.964,0.1,5.956,0.5,5.968,0.3,5.956,0.2,5.96,,-58.1414,-57.9106,-58.5367,-59.7222,-66.0696,-64.098,-63.4734,-62.0261
2178,,0.6,5.96,0.5,5.964,1.0,5.968,0.9,5.972,0.3,5.972,0.3,5.964,0.5,5.968,0.5,5.964,,0.3,5.956,0.3,5.968,-0.1,5.964,0.5,5.964,0.2,5.96,0.2,5.972,0.2,5.956,0.2,5.964,,-58.1414,-57.9106,-58.5696,-59.7552,-66.1025,-64.1309,-63.5062,-62.0591
2179,,0.3,5.96,0.7,5.968,0.7,5.968,0.5,5.972,0.5,5.968,0.4,5.972,0.3,5.968,0.4,5.968,,0.2,5.956,0.2,5.968,0.3,5.968,0.2,5.968,0.2,5.956,0.5,5.972,0.2,5.956,0.5,5.96,,-58.1743,-58.0425,-58.6026,-59.8211,-66.1353,-64.1309,-63.572,-62.092
2192,,0.5,5.96,0.8,5.968,0.6,5.968,0.4,5.972,0.4,5.968,0.3,5.964,0.1,5.972,0.4,5.968,,,,,,,,,,,,,,,,,,,-58.7014,-58.5037,-59.1625,-60.3807,-66.4967,-64.5911,-63.9993,-62.5854
2193,,0.2,5.96,0.5,5.964,0.9,5.968,0.6,5.972,0.6,5.968,0.3,5.968,0.2,5.968,0.5,5.968,,0.3,5.956,0.3,5.968,0.6,5.964,0.1,5.964,0.2,5.956,0.4,5.968,0.1,5.956,0.0,5.964,,-58.7342,-58.5037,-59.1625,-60.3807,-66.5295,-64.6239,-64.0323,-62.6183
2194,,0.7,5.964,0.7,5.968,0.9,5.972,0.5,5.972,0.3,5.968,0.3,5.968,0.3,5.968,0.1,5.972,,0.2,5.956,0.1,5.968,0.3,5.968,-0.1,5.96,0.1,5.956,0.3,5.972,0.0,5.96,-0.2,5.96,,-58.7342,-58.5696,-59.1625,-60.4466,-66.5295,-64.6567,-64.0652,-62.6512
2195,,0.2,5.96,0.4,5.968,0.7,5.968,0.6,5.972,0.7,5.972,0.7,5.968,0.0,5.968,0.3,5.968,,-0.1,5.956,0.0,5.968,0.2,5.968,0.3,5.968,-0.1,5.956,0.3,5.968,0.4,5.956,0.5,5.964,,-58.8331,-58.5696,-59.2283,-60.4466,-66.5623,-64.6567,-64.098,-62.684
2196,,0.6,5.964,0.6,5.964,0.8,5.968,0.4,5.972,0.5,5.968,0.7,5.968,0.1,5.968,0.3,5.968,,0.4,5.956,0.3,5.964,-0.1,5.968,0.3,5.964,-0.1,5.96,0.4,5.972,0.1,5.956,0.6,5.964,,-58.8331,-58.6355,-59.2613,-60.5125,-66.5952,-64.7225,-64.1309,-62.717
2197,,0.5,5.96,0.6,5.964,0.7,5.968,0.5,5.972,0.7,5.968,0.4,5.968,0.2,5.968,0.3,5.968,,0.2,5.96,0.2,5.968,0.2,5.968,0.2,5.964,0.0,5.956,0.2,5.972,0.0,5.956,0.3,5.964,,-58.899,-58.7014,-59.3271,-60.5453,-66.6279,-64.7225,-64.1637,-62.7499
2198,,0.5,5.96,0.5,5.964,0.6,5.968,0.5,5.972,0.4,5.972,0.6,5.968,0.3,5.972,0.4,5.968,,0.5,5.96,0.2,5.964,0.5,5.964,0.4,5.968,-0.1,5.956,0.3,5.972,0.2,5.956,0.5,5.964,,-58.932,-58.6684,-59.3601,-60.5783,-66.6279,-64.7554,-64.1967,-62.8157
2199,,0.5,5.96,0.6,5.968,1.0,5.968,0.5,5.972,0.6,5.968,0.7,5.968,0.5,5.968,0.4,5.968,,0.2,5.956,0.2,5.964,0.3,5.964,0.1,5.964,0.0,5.96,0.1,5.972,0.3,5.96,0.3,5.96,,-58.9648,-58.7672,-59.3929,-60.6112,-66.6609,-64.7882,-64.2295,-62.8485
2215,,0.5,5.96,0.4,5.964,0.5,5.964,0.6,5.968,0.2,5.968,0.1,5.968,0.1,5.968,0.6,5.964,,,,,,,,,,,,,,,,,,,-59.7222,-59.3929,-60.1174,-61.3681,-67.1205,-65.3797,-64.821,-63.4734
2216,,0.4,5.964,0.6,5.968,0.5,5.968,0.5,5.972,0.4,5.972,0.3,5.968,0.3,5.968,0.2,5.968,,0.5,5.956,-0.1,5.968,0.1,5.968,0.1,5.964,0.1,5.956,0.2,5.972,0.1,5.96,0.0,5.964,,-59.7552,-59.5576,-60.1833,-61.4669,-67.1534,-65.4126,-64.854,-63.5391
2217,,0.7,5.96,0.4,5.968,0.8,5.964,0.4,5.972,0.5,5.968,0.4,5.968,0.2,5.968,0.3,5.968,,0.2,5.96,0.3,5.964,0.2,5.968,0.3,5.964,0.1,5.956,0.4,5.972,0.1,5.96,0.1,5.964,,-59.7552,-59.4918,-60.2161,-61.4998,-67.1863,-65.4455,-64.9197,-63.572
2218,,0.3,5.964,0.5,5.964,0.6,5.968,0.4,5.972,0.3,5.972,0.2,5.968,0.3,5.972,0.2,5.968,,0.3,5.956,0.4,5.968,0.1,5.964,0.2,5.964,0.1,5.956,0.3,5.968,0.0,5.96,0.5,5.964,,-59.7882,-59.5248,-60.2491,-61.5326,-67.1863,-65.4782,-64.9526,-63.6049
2219,,0.4,5.96,0.4,5.968,0.6,5.968,0.4,5.972,0.4,5.968,0.3,5.968,0.3,5.968,0.4,5.968,,0.4,5.96,-0.1,5.968,-0.1,5.968,0.3,5.964,0.1,5.956,0.2,5.972,0.2,5.96,0.2,5.964,,-59.9199,-59.5906,-60.282,-61.5656,-67.1863,-65.4782,-64.9526,-63.6378
2220,,0.4,5.964,0.3,5.968,0.8,5.968,0.3,5.976,0.3,5.968,0.3,5.972,0.3,5.972,0.3,5.968,,0.1,5.956,0.5,5.968,0.3,5.968,0.1,5.964,0.1,5.956,0.2,5.972,0.1,5.956,0.0,5.964,,-59.8869,-59.5906,-60.3478,-61.5985,-67.2191,-65.5112,-64.9526,-63.6706
2221,,0.1,5.964,0.3,5.968,0.7,5.972,0.5,5.972,0.4,5.968,0.4,5.972,0.3,5.968,0.4,5.968,,0.1,5.964,0.1,5.968,0.2,5.968,0.4,5.964,0.1,5.956,0.2,5.972,0.2,5.96,0.0,5.964,,-59.9199,-59.6894,-60.3478,-61.6314,-67.2519,-65.544,-64.9854,-63.7035
2222,,0.6,5.96,0.5,5.968,0.5,5.968,0.5,5.976,0.2,5.972,0.2,5.972,0.3,5.968,0.2,5.968,,0.3,5.956,0.2,5.968,0.0,5.968,-0.1,5.968,0.1,5.96,0.3,5.972,0.3,5.96,0.3,5.964,,-59.9528,-59.6564,-60.3807,-61.6643,-67.2519,-65.544,-65.0511,-63.7035
2223,,0.3,5.964,0.4,5.968,0.4,5.972,0.4,5.976,0.5,5.968,0.5,5.968,0.2,5.968,0.3,5.972,,0.1,5.96,0.1,5.968,0.1,5.964,0.1,5.964,0.1,5.96,0.2,5.972,0.1,5.96,0.1,5.964,,-60.0186,-59.6894,-60.4466,-61.6971,-67.2847,-65.5769,-65.0511,-63.7364
2224,,0.3,5.96,0.4,5.964,0.4,5.972,0.3,5.972,0.4,5.968,0.5,5.972,0.0,5.972,0.4,5.968,,0.1,5.96,0.2,5.968,0.2,5.972,0.2,5.968,0.0,5.956,0.2,5.972,0.1,5.96,0.2,5.964,,-60.1174,-59.7222,-60.4137,-61.7301,-67.3176,-65.6098,-65.084,-63.7693
2225,,0.4,5.96,0.6,5.968,0.6,5.968,0.2,5.976,0.3,5.968,0.3,5.972,0.2,5.972,0.4,5.972,,0.5,5.964,0.1,5.968,-0.1,5.968,0.3,5.964,0.3,5.96,0.2,5.972,0.2,5.956,0.0,5.964,,-60.0515,-59.6894,-60.5125,-61.763,-67.3176,-65.6425,-65.1169,-63.8022
2226,,0.3,5.964,0.3,5.968,0.5,5.972,0.3,5.976,0.2,5.972,0.3,5.968,0.3,5.968,0.2,5.972,,0.3,5.964,0.1,5.968,0.0,5.968,0.4,5.968,0.0,5.956,0.0,5.972,0.1,5.96,0.1,5.964,,-60.1503,-59.7882,-60.5453,-61.7959,-67.3504,-65.6754,-65.1497,-63.8022
2227,,0.4,5.96,0.2,5.972,0.5,5.972,0.3,5.976,0.3,5.968,0.0,5.972,0.1,5.972,0.4,5.968,,0.3,5.96,0.2,5.968,0.3,5.972,0.2,5.964,0.2,5.96,0.2,5.976,0.1,5.96,0.1,5.964,,-60.0845,-59.7882,-60.5783,-61.8288,-67.3504,-65.7083,-65.1497,-63.835
2228,,0.2,5.96,0.5,5.968,0.6,5.972,0.2,5.976,0.2,5.972,0.6,5.972,0.2,5.968,0.2,5.968,,0.3,5.956,0.3,5.972,0.0,5.972,0.4,5.964,0.2,5.96,0.2,5.972,0.3,5.96,0.3,5.968,,-60.2161,-59.8869,-60.5783,-61.8617,-67.3832,-65.7083,-65.1826,-63.8679
2244,,0.1,5.968,0.3,5.968,0.5,5.972,0.5,5.976,0.2,5.972,0.7,5.972,0.0,5.972,0.1,5.972,,0.4,5.964,-0.2,5.968,-0.1,5.972,0.2,5.968,0.1,5.96,0.2,5.976,0.1,5.96,0.1,5.968,,-60.7758,-60.3807,-61.1707,-62.4539,-67.6787,-66.1025,-65.6098,-64.328
2245,,0.5,5.964,0.2,5.968,0.4,5.968,0.4,5.976,0.4,5.972,0.3,5.972,0.0,5.972,0.3,5.972,,0.2,5.96,0.2,5.968,0.2,5.968,0.2,5.968,0.3,5.96,0.2,5.972,-0.1,5.964,0.0,5.968,,-60.8416,-60.4466,-61.2036,-62.4868,-67.7115,-66.1353,-65.6425,-64.361
2246,,0.2,5.964,0.4,5.972,0.5,5.976,0.3,5.976,0.4,5.976,0.4,5.972,0.4,5.972,0.5,5.976,,0.4,5.964,-0.1,5.968,0.0,5.972,0.4,5.968,0.2,5.96,0.3,5.976,0.2,5.964,0.2,5.964,,-60.8087,-60.4137,-61.2036,-62.4868,-67.7115,-66.1353,-65.6425,-64.4267
2247,,0.5,5.964,0.5,5.968,0.5,5.976,0.4,5.976,0.2,5.972,0.4,5.972,0.2,5.976,0.2,5.972,,0.3,5.96,0.2,5.968,0.0,5.968,0.0,5.964,-0.1,5.96,0.1,5.972,0.1,5.96,0.0,5.964,,-60.8416,-60.4466,-61.2365,-62.5196,-67.7444,-66.1682,-65.6425,-64.4267
2248,,0.5,5.964,0.3,5.972,0.5,5.972,0.2,5.972,0.3,5.972,0.2,5.972,0.4,5.968,0.3,5.972,,0.4,5.964,0.1,5.968,0.1,5.972,0.3,5.968,0.0,5.96,0.1,5.976,0.3,5.96,0.2,5.964,,-60.8416,-60.5453,-61.3024,-62.5526,-67.7444,-66.1682,-65.6754,-64.4267
2249,,0.3,5.964,0.3,5.968,0.7,5.972,0.5,5.976,0.3,5.972,0.3,5.968,0.3,5.972,0.4,5.972,,0.3,5.96,0.1,5.964,0.1,5.972,0.1,5.968,0.1,5.96,0.4,5.972,0.2,5.96,0.0,5.964,,-60.8745,-60.5453,-61.3352,-62.5854,-67.7444,-66.2339,-65.6754,-64.4596
2250,,0.3,5.968,0.4,5.972,0.5,5.972,0.5,5.98,0.2,5.98,0.4,5.976,0.1,5.972,0.5,5.972,,0.2,5.964,0.0,5.972,0.0,5.972,0.1,5.964,0.0,5.96,0.0,5.976,0.1,5.964,0.2,5.968,,-61.0061,-60.5453,-61.3352,-62.6183,-67.81,-66.2339,-65.7411,-64.5253
2251,,0.3,5.968,0.5,5.972,0.5,5.972,0.5,5.976,0.2,5.972,0.2,5.972,0.2,5.972,0.1,5.972,,0.3,5.964,0.1,5.972,0.0,5.968,-0.2,5.964,0.0,5.96,0.2,5.972,0.3,5.96,0.2,5.968,,-60.9732,-60.5125,-61.3681,-62.6512,-67.81,-66.2339,-65.7411,-64.5253
2252,,0.4,5.964,0.4,5.968,0.4,5.972,0.4,5.976,0.4,5.976,0.3,5.972,0.0,5.976,0.2,5.972,,0.3,5.96,0.2,5.968,0.0,5.968,0.4,5.968,0.1,5.96,0.2,5.976,0.0,5.964,0.2,5.968,,-60.9732,-60.6441,-61.4011,-62.684,-67.81,-66.2668,-65.7411,-64.5582
2253,,0.1,5.964,0.3,5.972,0.5,5.972,0.2,5.976,0.0,5.972,0.3,5.972,0.0,5.972,0.4,5.972,,-0.1,5.96,0.1,5.968,-0.3,5.968,0.3,5.968,0.2,5.96,0.2,5.972,0.1,5.96,0.6,5.964,,-61.039,-60.6112,-61.434,-62.717,-67.81,-66.2994,-65.774,-64.5911
2254,,0.3,5.964,0.4,5.972,0.3,5.972,0.3,5.976,0.3,5.972,0.5,5.972,0.0,5.972,0.3,5.972,,0.1,5.96,0.3,5.964,0.1,5.972,0.1,5.968,-0.1,5.956,0.2,5.972,0.1,5.96,0.3,5.964,,-61.072,-60.6112,-61.4669,-62.7499,-67.8428,-66.3324,-65.8068,-64.5911
2255,,0.5,5.96,0.2,5.968,0.6,5.968,0.3,5.972,0.2,5.972,0.2,5.968,-0.3,5.972,0.3,5.968,,0.1,5.964,0.3,5.968,0.5,5.972,0.1,5.968,0.0,5.96,0.2,5.976,-0.1,5.964,0.3,5.964,,-61.1049,-60.677,-61.4998,-62.7828,-67.8757,-66.3324,-65.8068,-64.6239
2256,,0.2,5.964,0.3,5.972,0.4,5.972,0.4,5.976,0.4,5.972,0.2,5.972,0.2,5.976,0.4,5.972,,0.4,5.964,0.1,5.968,-0.1,5.972,0.2,5.968,-0.1,5.964,0.1,5.972,0.2,5.96,0.2,5.968,,-61.1049,-60.7099,-61.5326,-62.8157,-67.8757,-66.3652,-65.8726,-64.6567
2257,,0.1,5.964,0.3,5.972,0.5,5.972,0.2,5.976,0.5,5.976,0.1,5.972,0.2,5.972,0.2,5.972,,0.3,5.96,-0.1,5.968,0.2,5.968,0.1,5.964,-0.3,5.96,0.1,5.972,0.0,5.96,0.3,5.964,,-61.1707,-60.7758,-61.5656,-62.8485,-67.9413,-66.3981,-65.8726,-64.6896
2258,,0.5,5.964,0.6,5.972,0.5,5.968,0.4,5.98,0.4,5.972,0.3,5.972,0.1,5.968,0.3,5.972,,0.2,5.964,0.1,5.968,0.0,5.972,0.2,5.968,-0.1,5.956,0.3,5.972,0.2,5.96,0.1,5.964,,-61.2036,-60.7758,-61.5985,-62.8815,-67.9742,-66.4637,-65.9054,-64.7225
2259,,0.4,5.964,0.3,5.972,0.6,5.972,0.3,5.976,0.3,5.972,0.3,5.972,0.2,5.972,0.1,5.972,,0.4,5.96,0.0,5.972,0.5,5.972,0.0,5.968,0.0,5.96,0.2,5.972,0.3,5.96,0.1,5.964,,-61.2365,-60.8745,-61.6314,-62.9144,-68.0726,-66.5623,-65.971,-64.7882
2260,,0.2,5.964,0.5,5.972,0.4,5.972,0.0,5.976,0.2,5.972,0.3,5.972,-0.1,5.972,0.3,5.972,,0.3,5.964,0.1,5.968,-0.1,5.968,0.1,5.964,-0.1,5.96,0.3,5.972,0.0,5.96,0.2,5.964,,-61.3024,-60.9075,-61.6643,-62.9801,-68.1382,-66.6937,-66.0368,-64.854
2264,,0.4,5.964,0.1,5.968,0.4,5.972,0.1,5.972,0.4,5.972,0.1,5.972,0.2,5.972,0.4,5.968,,,,,,,,,,,,,,,,,,,-61.4011,-61.1707,-61.8617,-63.1774,-68.5649,-67.1205,-66.3652,-65.1169
2265,,0.1,5.964,0.1,5.968,0.6,5.972,0.2,5.976,0.1,5.972,0.2,5.972,0.2,5.968,0.4,5.968,,0.2,5.96,0.5,5.968,-0.1,5.968,0.2,5.968,-0.1,5.96,0.2,5.972,0.1,5.96,-0.1,5.96,,-61.4669,-61.1378,-61.9276,-63.2432,-68.6961,-67.1863,-66.4309,-65.1826
2266,,0.2,5.964,0.5,5.968,0.5,5.972,0.1,5.976,0.1,5.972,0.2,5.968,0.0,5.972,0.4,5.972,,0.1,5.964,0.1,5.968,0.4,5.968,0.2,5.968,0.1,5.96,0.3,5.972,-0.1,5.96,0.1,5.964,,-61.5656,-61.2365,-61.9933,-63.2761,-68.7617,-67.2519,-66.5295,-65.2484
2267,,0.2,5.964,0.4,5.972,0.5,5.972,0.2,5.976,0.4,5.972,0.4,5.972,0.0,5.972,0.2,5.972,,0.0,5.964,0.1,5.968,0.2,5.972,0.3,5.968,0.1,5.96,0.1,5.972,0.2,5.964,0.0,5.968,,-61.6971,-61.3681,-62.0261,-63.3418,-68.8603,-67.2847,-66.5623,-65.3139
2274,,0.2,5.964,0.4,5.976,0.5,5.976,-0.1,5.976,0.2,5.972,0.3,5.972,0.2,5.972,0.4,5.972,,,,,,,,,,,,,,,,,,,-62.2894,-61.9933,-62.6183,-63.8679,-69.8772,-68.1382,-67.3176,-66.0039
2275,,0.2,5.964,0.4,5.972,0.2,5.972,0.3,5.976,0.0,5.972,0.2,5.972,0.0,5.972,0.4,5.968,,0.3,5.964,0.1,5.972,0.1,5.972,0.2,5.968,0.1,5.96,0.1,5.972,0.2,5.964,0.0,5.964,,-62.3551,-62.1249,-62.717,-63.9666,-69.9756,-68.2039,-67.3832,-66.0368
