,Timestamp,mA 1,V1,mA 2,V2,mA 3,V3,mA 4,V4,mA 5,V5,mA 6,V6,mA 7,V7,mA 8,V8,Timestamp,mA 1,V1,mA 2,V2,mA 3,V3,mA 4,V4,mA 5,V5,mA 6,V6,mA 7,V7,mA 8,V8,Timestamp,T1 - COM15,T2 - COM15,T3 - COM18,T4 - COM18,T5 - COM16,T6 - COM16,T7 - COM14,T8 - COM14
101,,88.3,5.588,107.7,5.584,98.4,5.588,98.7,5.628,91.5,5.56,98.8,5.6,94.9,5.552,98.2,5.548,,85.6,5.576,99.4,5.576,88.4,5.58,91.3,5.62,88.2,5.548,92.8,5.608,93.6,5.532,80.0,5.54,,18.266,17.7604,18.6377,18.9417,12.2967,14.7238,15.2971,15.6003
102,,87.5,5.588,106.2,5.588,98.1,5.588,97.7,5.632,90.6,5.564,98.3,5.6,94.4,5.552,97.7,5.548,,84.7,5.576,98.9,5.58,88.6,5.584,91.1,5.628,87.6,5.548,92.5,5.608,92.9,5.536,79.2,5.544,,18.0644,17.6588,18.6039,18.7393,12.1951,14.5552,15.1285,15.7019
123,,84.6,5.6,106.3,5.6,98.9,5.6,97.4,5.644,91.1,5.58,98.0,5.616,94.9,5.568,96.3,5.564,,81.8,5.604,96.0,5.6,83.3,5.604,88.6,5.648,87.3,5.572,88.7,5.628,93.4,5.56,79.6,5.564,,15.7688,15.4995,16.4106,16.5453,8.827,11.9258,12.162,13.2062
124,,82.4,5.612,104.1,5.612,96.7,5.608,96.0,5.652,90.3,5.584,96.9,5.624,93.6,5.576,94.5,5.572,,80.2,5.604,94.6,5.604,83.0,5.608,88.2,5.648,85.0,5.572,87.9,5.632,91.3,5.56,77.4,5.568,,15.5672,15.3979,16.4106,16.4776,8.76007,11.7242,12.229,13.3409
125,,81.5,5.612,102.9,5.608,95.4,5.608,94.8,5.652,89.2,5.58,95.7,5.62,92.0,5.572,93.7,5.568,,79.4,5.604,93.7,5.604,83.1,5.608,88.1,5.648,83.5,5.576,87.6,5.628,89.8,5.56,75.9,5.568,,15.4995,15.2632,16.4106,16.309,8.62542,11.6564,12.1282,13.1054
126,,80.5,5.612,101.7,5.608,94.4,5.612,94.1,5.648,89.2,5.584,94.8,5.624,91.4,5.576,93.1,5.572,,78.6,5.6,93.7,5.6,82.9,5.604,87.2,5.644,82.7,5.568,87.5,5.628,88.9,5.56,75.1,5.564,,15.5333,15.2971,16.2752,16.4106,8.52462,11.5887,11.9935,13.2401
127,,79.9,5.608,100.8,5.608,93.7,5.608,93.3,5.648,88.3,5.584,94.6,5.62,90.5,5.572,92.7,5.572,,78.2,5.604,93.5,5.604,83.0,5.608,87.5,5.648,82.1,5.58,87.3,5.632,88.3,5.564,75.0,5.572,,15.3979,15.1955,16.1736,16.2082,8.52462,11.4541,11.825,13.0038
128,,79.6,5.612,100.5,5.612,93.7,5.616,93.1,5.656,88.4,5.592,94.6,5.624,90.2,5.58,92.4,5.572,,78.2,5.608,93.4,5.608,83.5,5.612,87.6,5.656,81.9,5.58,87.2,5.636,88.1,5.568,74.5,5.576,,15.4317,15.0947,16.1405,16.0728,8.3561,11.4202,11.9258,12.903
130,,78.6,5.62,99.9,5.62,92.8,5.62,92.8,5.66,88.2,5.596,94.2,5.628,89.8,5.584,91.4,5.58,,77.7,5.612,92.4,5.616,83.7,5.62,87.7,5.656,81.2,5.584,86.6,5.64,87.0,5.576,73.9,5.576,,15.2293,14.8923,15.9712,15.8365,8.08678,11.117,11.5548,12.8023
131,,78.4,5.62,99.7,5.624,92.7,5.62,92.5,5.664,88.3,5.596,94.1,5.636,90.0,5.588,91.1,5.584,,77.6,5.612,92.3,5.612,84.1,5.616,87.3,5.656,80.9,5.584,86.6,5.64,87.0,5.576,73.4,5.58,,15.1624,14.7907,15.7357,15.8026,7.91826,11.0501,11.4541,12.9369
