Timestamp,Cell 1 Current,Cell 1 current,Cell 1 Voltage,Cell 2 Current,Cell 2 Voltage,Cell 2 Temp,Cell 3 Current,Cell 3 Voltage,Cell 3 Temperature,Cell 4 Current,Cell 4 Voltage,Cell 4 Temp,Cell 5 Current,Cell 5 Voltage,Cell 5 Temperature,Cell 6 Current,Cell 6 Voltage,Cell 6 Temp,Cell 7 Current,Cell 7 Voltage,Cell 7 Temperature,Cell 8 Current,Cell 8 Voltage,Cell 8 Temp,Cell 9 Current,Cell 9 Voltage,Cell 9 Temp,Cell 10 Current,Cell 10 Voltage,Cell 10 Temp,Cell 11 Current,Cell 11 Voltage,Cell 11 Temp,Cell 12 Current,Cell 12 Voltage,Cell 12 Temp (SENSOR Failed),Cell 13 Current,Cell 13 Voltage,Cell 13 Temp,Cell 14 Current,Cell 14 Voltage,Cell 14 Temp,Cell 15 Current,Cell 15 Voltage,Cell 15 Temp,Cell 16 Current,Cell 16 Voltage,Cell 16 Temp
,,,,,,15.0269,,,,,,15.7688,,,,,,16.5114,,,,,,15.4656,60.8,5.688,,56.3,5.696,11.2517,58.6,5.692,,58.6,5.72,13.6449,43.9,5.676,,46.9,5.716,15.0608,44.9,5.672,,49.9,5.672,15.3648
,,,,,,14.8923,,,,,,15.8704,,,,,,16.4776,,,,,,15.3648,59,5.688,,55,5.696,11.0831,57.6,5.696,,57.7,5.72,13.5771,43.5,5.68,,46.5,5.72,15.2632,43.7,5.676,,48.4,5.676,15.3648
,,,,,,14.8923,,,,,,15.8026,,,,,,16.4437,,,,,,15.3309,58.1,5.692,,54.8,5.696,11.0501,57,5.7,,57.2,5.72,13.611,43.6,5.68,,46.5,5.72,14.9931,43.2,5.68,,47.7,5.68,15.0947
,,,,,,14.3867,,,,,,15.3648,,,,,,16.2082,,,,,,14.9262,57.4,5.692,,54.7,5.696,10.2413,57.6,5.7,,56.7,5.724,13.1393,43.6,5.684,,46.5,5.72,14.7576,43.5,5.676,,47.6,5.68,15.0269
,,,,,,14.2512,,,,,,15.3309,,,,,,16.1736,,,,,,14.96,56.7,5.692,,53.6,5.704,10.1067,56.8,5.704,,56.1,5.728,13.1393,43.3,5.68,,46.1,5.724,14.5552,42.9,5.68,,46.5,5.68,14.9262
,,,,,,14.2851,,,,,,15.1955,,,,,,16.1736,,,,,,14.7907,55.9,5.696,,53.3,5.704,10.0389,56.2,5.704,,55.8,5.728,13.1054,43.2,5.688,,45.9,5.724,14.5214,42.5,5.68,,46,5.684,14.5883
,,,,,,14.1843,,,,,,15.2632,,,,,,15.9712,,,,,,14.8246,55.7,5.7,,53,5.7,9.93814,55.8,5.704,,55.8,5.728,13.0038,43.1,5.688,,45.9,5.728,14.5552,42.7,5.684,,46,5.68,14.656
,,,,,,14.2182,,,,,,15.1955,,,,,,16.0728,,,,,,14.7576,55.1,5.7,,53.2,5.704,9.83735,55.9,5.708,,55.5,5.728,13.1054,43,5.688,,45.7,5.724,14.6899,42.9,5.684,,45.6,5.684,14.4206
,,,,,,14.1843,,,,,,15.1285,,,,,,15.9042,,,,,,14.656,55.5,5.696,,53,5.704,9.66882,55.6,5.704,,55.6,5.728,13.0038,42.8,5.684,,45.6,5.724,14.4875,42.6,5.684,,45.2,5.684,14.5552
,,,,,,14.1166,,,,,,15.0947,,,,,,15.9712,,,,,,14.6899,54.9,5.696,,52.7,5.704,9.60189,55.7,5.704,,55.6,5.728,12.903,43,5.688,,45.8,5.728,14.319,42.4,5.684,,45,5.688,14.656
