Cell 1 Current,Cell 1 Voltage,Cell 1 Temp,Cell 2 Current,Cell 2 Voltage,Cell 2 Temp,Cell 3 Current,Cell 3 Voltage,Cell 3 Temp,Cell 4 Current,Cell 4 Voltage,Cell 4 Temp,Cell 5 Current,Cell 5 Voltage,Cell 5 Temp,Cell 6 Current,Cell 6 Voltage,Cell 6 Temp,Cell 7 Current,Cell 7 Voltage,Cell 7 Temp,Cell 8 Current,Cell 8 Voltage,Cell 8 Temp,Cell 9 Current,Cell 9 Voltage,Cell 9 Temp,Cell 10 Current,Cell 10 Voltage,Cell 10 Temp,Cell 11 Current,Cell 11 Voltage,Cell 11 Temp,Cell 12 Current,Cell 12 Voltage,Cell 12 Temp,Cell 13 Current,Cell 13 Voltage,Cell 13 Temp,Cell 14 Current,Cell 14 Voltage,Cell 14 Temp,Cell 15 Current,Cell 15 Voltage,Cell 15 Temp,Cell 16 Current,Cell 16 Voltage,Cell 16 Temp
0.5,5.964,-64.293,0.3,5.972,-63.4734,0.1,5.976,-68.137,0.4,5.976,-63.4076,0.4,5.972,-63.319,0.3,5.968,-60.5453,0.3,5.972,-61.796,0.3,5.968,-61.5985,0.4,5.956,-65.2812,0.3,5.96,-61.136,0.2,5.964,-62.2565,0.1,5.964,-61.827,,,-58.899,0.2,5.968,-59.458,0.6,5.952,-55.2076,0.2,5.96,-59.804
0.5,5.964,-64.293,0.1,5.972,-63.5391,0.2,5.976,-68.169,0.0,5.976,-63.4076,0.2,5.972,-63.976,0.0,5.972,-60.5783,0.3,5.968,-61.828,0.4,5.968,-61.6314,0.3,5.956,-65.2812,,,-61.783,0.6,5.964,-62.3881,0.5,5.964,-61.849,0.1,5.952,-58.932,0.2,5.968,-59.524,,,-56.2957,0.5,5.964,-59.837
0.3,5.964,-64.309,0.1,5.976,-63.7035,0.1,5.972,-68.301,0.2,5.976,-63.4405,0.0,5.972,-64.075,0.6,5.972,-60.5783,0.3,5.972,-61.872,0.2,5.968,-61.6643,0.4,5.956,-65.3468,0.4,5.964,-61.816,0.2,5.968,-62.421,0.2,5.968,-61.915,0.2,5.952,-59.0307,0.3,5.968,-59.656,0.5,5.948,-56.2957,0.2,5.96,-59.87
0.3,5.968,-64.408,0.2,5.972,-63.6378,0.3,5.972,-68.323,0.0,5.976,-63.6378,0.4,5.968,-64.13,0.7,5.972,-61.1707,0.3,5.968,-61.894,0.3,5.972,-61.6971,0.0,5.96,-65.3797,0.4,5.964,-61.881,,,-63.0788,,,-62.365,0.3,5.952,-59.0636,0.3,5.964,-59.689,0.6,5.948,-56.3616,0.2,5.964,-59.952
0.3,5.968,-64.392,0.1,5.972,-63.7693,0.3,5.972,-68.355,0.0,5.976,-63.6378,0.3,5.976,-64.207,0.3,5.972,-61.2036,0.3,5.968,-61.916,0.4,5.968,-61.7301,0.2,5.96,-65.4126,0.1,5.964,-61.892,0.2,5.968,-63.1445,0.1,5.964,-62.387,0.0,5.952,-59.1625,,,-60.314,0.6,5.948,-56.3616,0.4,5.964,-59.969
0.4,5.964,-64.392,0.3,5.976,-63.7693,0.2,5.972,-68.399,0.2,5.976,-63.6378,0.1,5.976,-64.283,0.4,5.972,-61.2036,0.2,5.968,-61.96,0.4,5.972,-61.763,,,-66.0696,0.2,5.964,-61.947,0.3,5.964,-63.1774,-0.1,5.96,-62.43,0.4,5.952,-59.2283,0.3,5.968,-60.358,0.5,5.948,-56.4275,0.2,5.964,-60.018
0.1,5.964,-64.424,0.4,5.972,-63.835,0.4,5.972,-68.454,0.0,5.976,-63.7035,0.0,5.976,-64.349,0.4,5.972,-61.2365,0.0,5.972,-61.971,0.2,5.972,-61.7959,0.4,5.956,-66.0696,0.2,5.964,-61.958,0.2,5.964,-63.1774,0.3,5.968,-62.441,,,-59.8869,0.2,5.968,-60.402,0.3,5.952,-56.4275,,,-60.825
0.3,5.964,-64.457,0.1,5.972,-65.544,0.1,5.972,-68.53,0.0,5.972,-63.835,0.1,5.972,-65.324,0.2,5.972,-61.3024,0.2,5.972,-62.026,0.4,5.968,-61.8288,0.3,5.956,-66.1025,0.4,5.964,-61.98,0.2,5.964,-63.2432,0.3,5.964,-62.496,0.1,5.952,-59.9199,0.3,5.972,-60.446,0.4,5.952,-56.4935,0.2,5.96,-60.874
0.5,5.96,-64.49,0.3,5.968,-65.6425,0.3,5.972,-68.552,0.3,5.976,-65.4782,0.5,5.972,-65.379,0.3,5.968,-61.3352,0.3,5.968,-62.048,0.2,5.968,-61.8617,0.2,5.956,-66.1353,,,-62.726,0.1,5.964,-63.2761,0.2,5.964,-62.529,0.0,5.952,-59.9857,0.4,5.972,-60.479,,,-57.5811,0.2,5.964,-60.907
0.2,5.964,-64.49,0.2,5.972,-65.6754,0.2,5.972,-68.574,0.1,5.972,-65.7083,0.0,5.976,-65.412,0.4,5.976,-61.3352,0.1,5.972,-62.081,0.1,5.972,-62.4539,,,-66.4967,0.1,5.964,-62.77,0.5,5.968,-63.309,0.4,5.968,-62.54,0.0,5.952,-60.0845,0.4,5.968,-60.512,0.5,5.952,-57.6141,0.5,5.96,-60.957
0.1,5.964,-64.556,0.1,5.968,-65.774,0.0,5.976,-68.629,0.1,5.976,-65.6098,0.3,5.972,-65.554,0.2,5.972,-61.3681,0.2,5.968,-62.103,0.3,5.972,-62.4868,0.3,5.956,-66.5295,0.3,5.968,-62.792,,,-64.0652,0.1,5.964,-62.595,0.0,5.952,-60.1174,0.0,5.968,-60.556,0.2,5.952,-57.68,,,-61.483
