timestamp, volt1 V, volt2 V, H ppm1, H ppm2
2025-10-17T20:26:01,Index:263, DAC1:400, 0.47PPM, DAC2:400, 0.47PPM, DAC3:384.00, 0.42PPM
2025-10-17T20:26:03,Index:264, DAC1:352, 0.32PPM, DAC2:384, 0.42PPM, DAC3:400.00, 0.47PPM
2025-10-17T20:26:04,Index:265, DAC1:544, 0.91PPM, DAC2:416, 0.52PPM, DAC3:464.00, 0.67PPM
2025-10-17T20:26:05,Index:266, DAC1:480, 0.71PPM, DAC2:400, 0.47PPM, DAC3:352.00, 0.32PPM
2025-10-17T20:26:06,Index:267, DAC1:464, 0.67PPM, DAC2:432, 0.57PPM, DAC3:400.00, 0.47PPM
2025-10-17T20:26:07,Index:268, DAC1:608, 1.11PPM, DAC2:448, 0.62PPM, DAC3:480.00, 0.71PPM
2025-10-17T20:26:08,Index:269, DAC1:480, 0.71PPM, DAC2:384, 0.42PPM, DAC3:480.00, 0.71PPM
2025-10-17T20:26:09,Index:270, DAC1:560, 0.96PPM, DAC2:448, 0.62PPM, DAC3:544.00, 0.91PPM
2025-10-17T20:26:10,Index:271, DAC1:384, 0.42PPM, DAC2:416, 0.52PPM, DAC3:448.00, 0.62PPM
2025-10-17T20:26:11,Index:272, DAC1:448, 0.62PPM, DAC2:368, 0.37PPM, DAC3:416.00, 0.52PPM
2025-10-17T20:26:12,Index:273, DAC1:496, 0.76PPM, DAC2:400, 0.47PPM, DAC3:464.00, 0.67PPM
2025-10-17T20:26:13,Index:274, DAC1:480, 0.71PPM, DAC2:432, 0.57PPM, DAC3:432.00, 0.57PPM
2025-10-17T20:26:14,Index:275, DAC1:512, 0.81PPM, DAC2:416, 0.52PPM, DAC3:480.00, 0.71PPM
2025-10-17T20:26:15,Index:276, DAC1:416, 0.52PPM, DAC2:384, 0.42PPM, DAC3:432.00, 0.57PPM
2025-10-17T20:26:16,Index:277, DAC1:528, 0.86PPM, DAC2:448, 0.62PPM, DAC3:528.00, 0.86PPM
2025-10-17T20:26:17,Index:278, DAC1:576, 1.01PPM, DAC2:448, 0.62PPM, DAC3:496.00, 0.76PPM
2025-10-17T20:26:18,Index:279, DAC1:416, 0.52PPM, DAC2:368, 0.37PPM, DAC3:416.00, 0.52PPM
2025-10-17T20:26:19,Index:280, DAC1:496, 0.76PPM, DAC2:416, 0.52PPM, DAC3:464.00, 0.67PPM
2025-10-17T20:26:20,Index:281, DAC1:448, 0.62PPM, DAC2:432, 0.57PPM, DAC3:352.00, 0.32PPM
2025-10-17T20:26:21,Index:282, DAC1:432, 0.57PPM, DAC2:400, 0.47PPM, DAC3:352.00, 0.32PPM
2025-10-17T20:26:22,Index:283, DAC1:464, 0.67PPM, DAC2:416, 0.52PPM, DAC3:416.00, 0.52PPM
2025-10-17T20:26:23,Index:284, DAC1:400, 0.47PPM, DAC2:400, 0.47PPM, DAC3:416.00, 0.52PPM
2025-10-17T20:26:24,Index:285, DAC1:480, 0.71PPM, DAC2:448, 0.62PPM, DAC3:464.00, 0.67PPM
2025-10-17T20:26:25,Index:286, DAC1:352, 0.32PPM, DAC2:416, 0.52PPM, DAC3:400.00, 0.47PPM
2025-10-17T20:26:26,Index:287, DAC1:576, 1.01PPM, DAC2:480, 0.71PPM, DAC3:560.00, 0.96PPM
2025-10-17T20:26:27,Index:288, DAC1:400, 0.47PPM, DAC2:368, 0.37PPM, DAC3:448.00, 0.62PPM
2025-10-17T20:26:28,Index:289, DAC1:416, 0.52PPM, DAC2:400, 0.47PPM, DAC3:416.00, 0.52PPM
2025-10-17T20:26:29,Index:290, DAC1:464, 0.67PPM, DAC2:384, 0.42PPM, DAC3:432.00, 0.57PPM
