timestamp, volt1 V, volt2 V, H ppm1, H ppm2
2025-12-23T14:14:43,]0;🐍Wi-Fi: No IP | Done | 9.2.9\
2025-12-23T14:14:44,Code stopped by auto-reload. Reloading soon.
2025-12-23T14:14:45,soft reboot
2025-12-23T14:14:47,[2K[0GAuto-reload is on. Simply save files over USB to run them or enter REPL to disable.
2025-12-23T14:14:48,[2K[0Gcode.py output:
2025-12-23T14:14:49,]0;🐍Wi-Fi: off | code.py | 9.2.9\attempting to connect to wifi...
2025-12-23T14:14:50,error connecting: No network with that ssid
2025-12-23T14:14:51,Running in offline mode.
2025-12-23T14:14:52,464.000, 11410.000, 0.023, 0.575, 283.207, 6964.213
2025-12-23T14:14:53,480.000, 11458.000, 0.024, 0.577, 292.973, 6993.510
2025-12-23T14:14:54,416.000, 11426.000, 0.021, 0.575, 253.910, 6973.980
2025-12-23T14:14:55,432.000, 11378.000, 0.022, 0.573, 263.676, 6944.682
2025-12-23T14:14:56,560.000, 11522.000, 0.028, 0.580, 341.802, 7032.578
2025-12-23T14:14:57,352.000, 20308.000, 0.018, 1.023, 214.847, 12395.199
2025-12-23T14:14:58,384.000, 14499.000, 0.019, 0.730, 234.378, 8849.617
2025-12-23T14:14:59,496.000, 14867.000, 0.025, 0.749, 302.739, 9074.230
2025-12-23T14:15:00,416.000, 11298.000, 0.021, 0.569, 253.910, 6895.854
2025-12-23T14:15:01,448.000, 11106.000, 0.023, 0.559, 273.442, 6778.664
2025-12-23T14:15:02,448.000, 11026.000, 0.023, 0.555, 273.442, 6729.836
2025-12-23T14:15:03,672.000, 11106.000, 0.034, 0.559, 410.162, 6778.664
2025-12-23T14:15:04,464.000, 11090.000, 0.023, 0.558, 283.207, 6768.900
2025-12-23T14:15:05,352.000, 11106.000, 0.018, 0.559, 214.847, 6778.664
2025-12-23T14:15:06,464.000, 11090.000, 0.023, 0.558, 283.207, 6768.900
2025-12-23T14:15:07,448.000, 11090.000, 0.023, 0.558, 273.442, 6768.900
2025-12-23T14:15:08,448.000, 11042.000, 0.023, 0.556, 273.442, 6739.602
2025-12-23T14:15:09,480.000, 11106.000, 0.024, 0.559, 292.973, 6778.664
2025-12-23T14:15:10,464.000, 11330.000, 0.023, 0.571, 283.207, 6915.385
2025-12-23T14:15:11,528.000, 11314.000, 0.027, 0.570, 322.270, 6905.619
2025-12-23T14:15:12,544.000, 11330.000, 0.027, 0.571, 332.036, 6915.385
2025-12-23T14:15:13,480.000, 11394.000, 0.024, 0.574, 292.973, 6954.447
2025-12-23T14:15:14,416.000, 11346.000, 0.021, 0.571, 253.910, 6925.152
2025-12-23T14:15:15,400.000, 11330.000, 0.020, 0.571, 244.144, 6915.385
2025-12-23T14:15:16,496.000, 11314.000, 0.025, 0.570, 302.739, 6905.619
2025-12-23T14:15:17,528.000, 11346.000, 0.027, 0.571, 322.270, 6925.152
2025-12-23T14:15:18,480.000, 11362.000, 0.024, 0.572, 292.973, 6934.916
2025-12-23T14:15:19,528.000, 11394.000, 0.027, 0.574, 322.270, 6954.447
2025-12-23T14:15:20,400.000, 11394.000, 0.020, 0.574, 244.144, 6954.447
