timestamp, volt1 V, volt2 V, H ppm1, H ppm2
2025-12-09T15:26:43,Index:142, DAC1:5473, 15.95PPM, DAC2:11346, 33.88PPM, DAC3:416.00, 0.52PPM
2025-12-09T15:26:44,Index:143, DAC1:5665, 16.54PPM, DAC2:11586, 34.61PPM, DAC3:464.00, 0.67PPM
2025-12-09T15:26:45,Index:144, DAC1:6161, 18.05PPM, DAC2:11666, 34.85PPM, DAC3:448.00, 0.62PPM
2025-12-09T15:26:46,Index:145, DAC1:6337, 18.59PPM, DAC2:11570, 34.56PPM, DAC3:496.00, 0.76PPM
2025-12-09T15:26:47,Index:146, DAC1:5729, 16.73PPM, DAC2:11682, 34.90PPM, DAC3:432.00, 0.57PPM
2025-12-09T15:26:48,Index:147, DAC1:6225, 18.25PPM, DAC2:11410, 34.07PPM, DAC3:512.00, 0.81PPM
2025-12-09T15:26:49,Index:148, DAC1:5809, 16.98PPM, DAC2:11410, 34.07PPM, DAC3:400.00, 0.47PPM
2025-12-09T15:26:50,Index:149, DAC1:5697, 16.64PPM, DAC2:11378, 33.97PPM, DAC3:496.00, 0.76PPM
2025-12-09T15:26:51,Index:150, DAC1:5633, 16.44PPM, DAC2:11474, 34.27PPM, DAC3:480.00, 0.71PPM
2025-12-09T15:26:52,Index:151, DAC1:5793, 16.93PPM, DAC2:11602, 34.66PPM, DAC3:400.00, 0.47PPM
2025-12-09T15:26:53,Index:152, DAC1:5825, 17.03PPM, DAC2:11602, 34.66PPM, DAC3:432.00, 0.57PPM
2025-12-09T15:26:54,Index:153, DAC1:6065, 17.76PPM, DAC2:11634, 34.75PPM, DAC3:464.00, 0.67PPM
2025-12-09T15:26:55,Index:154, DAC1:5697, 16.64PPM, DAC2:11554, 34.51PPM, DAC3:384.00, 0.42PPM
2025-12-09T15:26:56,Index:155, DAC1:6193, 18.15PPM, DAC2:11394, 34.02PPM, DAC3:336.00, 0.28PPM
2025-12-09T15:26:57,Index:156, DAC1:6097, 17.86PPM, DAC2:11426, 34.12PPM, DAC3:448.00, 0.62PPM
2025-12-09T15:26:58,Index:157, DAC1:6081, 17.81PPM, DAC2:11410, 34.07PPM, DAC3:416.00, 0.52PPM
2025-12-09T15:26:59,Index:158, DAC1:5985, 17.52PPM, DAC2:11330, 33.83PPM, DAC3:384.00, 0.42PPM
2025-12-09T15:27:00,Index:159, DAC1:6353, 18.64PPM, DAC2:11314, 33.78PPM, DAC3:416.00, 0.52PPM
2025-12-09T15:27:01,Index:160, DAC1:6657, 19.57PPM, DAC2:11778, 35.19PPM, DAC3:448.00, 0.62PPM
2025-12-09T15:27:02,Index:161, DAC1:6273, 18.39PPM, DAC2:11650, 34.80PPM, DAC3:480.00, 0.71PPM
2025-12-09T15:27:03,Index:162, DAC1:5537, 16.15PPM, DAC2:11538, 34.46PPM, DAC3:432.00, 0.57PPM
2025-12-09T15:27:04,Index:163, DAC1:5857, 17.12PPM, DAC2:11538, 34.46PPM, DAC3:480.00, 0.71PPM
2025-12-09T15:27:05,Index:164, DAC1:6065, 17.76PPM, DAC2:11538, 34.46PPM, DAC3:416.00, 0.52PPM
2025-12-09T15:27:06,Index:165, DAC1:6273, 18.39PPM, DAC2:11378, 33.97PPM, DAC3:448.00, 0.62PPM
2025-12-09T15:27:07,Index:166, DAC1:5937, 17.37PPM, DAC2:11362, 33.92PPM, DAC3:384.00, 0.42PPM
2025-12-09T15:27:08,Index:167, DAC1:6193, 18.15PPM, DAC2:11410, 34.07PPM, DAC3:400.00, 0.47PPM
2025-12-09T15:27:09,Index:168, DAC1:5649, 16.49PPM, DAC2:11410, 34.07PPM, DAC3:448.00, 0.62PPM
2025-12-09T15:27:10,Index:169, DAC1:6545, 19.22PPM, DAC2:11730, 35.05PPM, DAC3:384.00, 0.42PPM
2025-12-09T15:27:11,Index:170, DAC1:6209, 18.20PPM, DAC2:11890, 35.54PPM, DAC3:352.00, 0.32PPM
2025-12-09T15:27:12,Index:171, DAC1:6177, 18.10PPM, DAC2:11698, 34.95PPM, DAC3:464.00, 0.67PPM
2025-12-09T15:27:13,Index:172, DAC1:5713, 16.68PPM, DAC2:11554, 34.51PPM, DAC3:448.00, 0.62PPM
2025-12-09T15:27:14,Index:173, DAC1:5777, 16.88PPM, DAC2:11602, 34.66PPM, DAC3:464.00, 0.67PPM
2025-12-09T15:27:15,Index:174, DAC1:5457, 15.90PPM, DAC2:11442, 34.17PPM, DAC3:512.00, 0.81PPM
2025-12-09T15:27:16,Index:175, DAC1:5409, 15.76PPM, DAC2:11346, 33.88PPM, DAC3:352.00, 0.32PPM
2025-12-09T15:27:17,Index:176, DAC1:5761, 16.83PPM, DAC2:11362, 33.92PPM, DAC3:384.00, 0.42PPM
2025-12-09T15:27:18,Index:177, DAC1:5521, 16.10PPM, DAC2:11346, 33.88PPM, DAC3:416.00, 0.52PPM
2025-12-09T15:27:19,Index:178, DAC1:5809, 16.98PPM, DAC2:11410, 34.07PPM, DAC3:432.00, 0.57PPM
