timestamp, volt1 V, volt2 V, H ppm1, H ppm2
2025-12-23T12:52:12,]0;🐍Wi-Fi: No IP | Done | 9.2.9\
2025-12-23T12:52:14,Code stopped by auto-reload. Reloading soon.
2025-12-23T12:52:15,soft reboot
2025-12-23T12:52:17,[2K[0GAuto-reload is on. Simply save files over USB to run them or enter REPL to disable.
2025-12-23T12:52:18,[2K[0Gcode.py output:
2025-12-23T12:52:19,]0;🐍Wi-Fi: off | code.py | 9.2.9\attempting to connect to wifi...
2025-12-23T12:52:20,error connecting: No network with that ssid
2025-12-23T12:52:21,Running in offline mode.
2025-12-23T12:53:05,Index:44, DAC1:544, 0.91PPM, DAC2:10642, 31.73PPM, DAC3:256.00, 0.03PPM
2025-12-23T12:53:06,Index:45, DAC1:464, 0.67PPM, DAC2:10594, 31.58PPM, DAC3:240.00, -0.02PPM
2025-12-23T12:53:07,Index:46, DAC1:480, 0.71PPM, DAC2:10642, 31.73PPM, DAC3:256.00, 0.03PPM
2025-12-23T12:53:08,Index:47, DAC1:400, 0.47PPM, DAC2:10562, 31.48PPM, DAC3:256.00, 0.03PPM
2025-12-23T12:53:09,Index:48, DAC1:448, 0.62PPM, DAC2:10546, 31.43PPM, DAC3:256.00, 0.03PPM
2025-12-23T12:53:10,Index:49, DAC1:448, 0.62PPM, DAC2:10626, 31.68PPM, DAC3:256.00, 0.03PPM
2025-12-23T12:53:11,Index:50, DAC1:432, 0.57PPM, DAC2:10562, 31.48PPM, DAC3:256.00, 0.03PPM
2025-12-23T12:53:12,Index:51, DAC1:384, 0.42PPM, DAC2:10338, 30.80PPM, DAC3:256.00, 0.03PPM
2025-12-23T12:53:13,Index:52, DAC1:496, 0.76PPM, DAC2:10450, 31.14PPM, DAC3:256.00, 0.03PPM
2025-12-23T12:53:14,Index:53, DAC1:592, 1.06PPM, DAC2:10162, 30.26PPM, DAC3:256.00, 0.03PPM
2025-12-23T12:53:15,Index:54, DAC1:352, 0.32PPM, DAC2:10338, 30.80PPM, DAC3:256.00, 0.03PPM
2025-12-23T12:53:16,Index:55, DAC1:496, 0.76PPM, DAC2:10498, 31.29PPM, DAC3:256.00, 0.03PPM
2025-12-23T12:53:17,Index:56, DAC1:448, 0.62PPM, DAC2:9890, 29.43PPM, DAC3:256.00, 0.03PPM
2025-12-23T12:53:18,Index:57, DAC1:608, 1.11PPM, DAC2:10082, 30.02PPM, DAC3:256.00, 0.03PPM
2025-12-23T12:53:19,Index:58, DAC1:384, 0.42PPM, DAC2:10370, 30.90PPM, DAC3:256.00, 0.03PPM
2025-12-23T12:53:20,Index:59, DAC1:400, 0.47PPM, DAC2:10498, 31.29PPM, DAC3:256.00, 0.03PPM
2025-12-23T12:53:21,Index:60, DAC1:432, 0.57PPM, DAC2:10530, 31.39PPM, DAC3:256.00, 0.03PPM
2025-12-23T12:53:22,Index:61, DAC1:416, 0.52PPM, DAC2:10594, 31.58PPM, DAC3:240.00, -0.02PPM
2025-12-23T12:53:23,Index:62, DAC1:480, 0.71PPM, DAC2:10626, 31.68PPM, DAC3:256.00, 0.03PPM
2025-12-23T12:53:24,Index:63, DAC1:576, 1.01PPM, DAC2:10658, 31.78PPM, DAC3:256.00, 0.03PPM
2025-12-23T12:53:25,Index:64, DAC1:336, 0.28PPM, DAC2:10594, 31.58PPM, DAC3:256.00, 0.03PPM
2025-12-23T12:53:26,Index:65, DAC1:608, 1.11PPM, DAC2:10674, 31.82PPM, DAC3:240.00, -0.02PPM
2025-12-23T12:53:27,Index:66, DAC1:464, 0.67PPM, DAC2:10690, 31.87PPM, DAC3:256.00, 0.03PPM
2025-12-23T12:53:28,Index:67, DAC1:432, 0.57PPM, DAC2:10658, 31.78PPM, DAC3:256.00, 0.03PPM
2025-12-23T12:53:29,Index:68, DAC1:464, 0.67PPM, DAC2:10722, 31.97PPM, DAC3:256.00, 0.03PPM
2025-12-23T12:53:30,Index:69, DAC1:432, 0.57PPM, DAC2:10722, 31.97PPM, DAC3:240.00, -0.02PPM
2025-12-23T12:53:31,Index:70, DAC1:464, 0.67PPM, DAC2:10738, 32.02PPM, DAC3:256.00, 0.03PPM
