timestamp, volt1 V, volt2 V, H ppm1, H ppm2
2025-12-23T12:13:48,Index:151, DAC1:58062, 176.44PPM, DAC2:12499, 37.39PPM, DAC3:272.00, 0.08PPM
2025-12-23T12:13:50,Index:152, DAC1:49852, 151.39PPM, DAC2:12242, 36.61PPM, DAC3:256.00, 0.03PPM
2025-12-23T12:13:51,Index:153, DAC1:40937, 124.18PPM, DAC2:12002, 35.88PPM, DAC3:256.00, 0.03PPM
2025-12-23T12:13:52,Index:154, DAC1:36937, 111.97PPM, DAC2:11986, 35.83PPM, DAC3:256.00, 0.03PPM
2025-12-23T12:13:53,Index:155, DAC1:31159, 94.34PPM, DAC2:11874, 35.49PPM, DAC3:256.00, 0.03PPM
2025-12-23T12:13:54,Index:156, DAC1:29959, 90.68PPM, DAC2:12002, 35.88PPM, DAC3:256.00, 0.03PPM
2025-12-23T12:13:55,Index:157, DAC1:27030, 81.74PPM, DAC2:11906, 35.58PPM, DAC3:256.00, 0.03PPM
2025-12-23T12:13:56,Index:158, DAC1:24549, 74.17PPM, DAC2:11794, 35.24PPM, DAC3:256.00, 0.03PPM
2025-12-23T12:13:57,Index:159, DAC1:23733, 71.68PPM, DAC2:11650, 34.80PPM, DAC3:256.00, 0.03PPM
2025-12-23T12:13:58,Index:160, DAC1:22037, 66.50PPM, DAC2:11650, 34.80PPM, DAC3:256.00, 0.03PPM
2025-12-23T12:13:59,Index:161, DAC1:21205, 63.96PPM, DAC2:11602, 34.66PPM, DAC3:256.00, 0.03PPM
2025-12-23T12:14:00,Index:162, DAC1:22069, 66.60PPM, DAC2:11746, 35.10PPM, DAC3:256.00, 0.03PPM
2025-12-23T12:14:01,Index:163, DAC1:19892, 59.96PPM, DAC2:11714, 35.00PPM, DAC3:256.00, 0.03PPM
2025-12-23T12:14:02,Index:164, DAC1:18148, 54.63PPM, DAC2:11666, 34.85PPM, DAC3:256.00, 0.03PPM
2025-12-23T12:14:03,Index:165, DAC1:17028, 51.22PPM, DAC2:11650, 34.80PPM, DAC3:272.00, 0.08PPM
2025-12-23T12:14:04,Index:166, DAC1:18772, 56.54PPM, DAC2:11714, 35.00PPM, DAC3:256.00, 0.03PPM
2025-12-23T12:14:05,Index:167, DAC1:16644, 50.04PPM, DAC2:11666, 34.85PPM, DAC3:256.00, 0.03PPM
2025-12-23T12:14:06,Index:168, DAC1:17988, 54.15PPM, DAC2:11570, 34.56PPM, DAC3:256.00, 0.03PPM
