timestamp, volt1 V, volt2 V, H ppm1, H ppm2
2025-12-07T16:15:45,Index:87, DAC1:544, 0.91PPM, DAC2:400, 0.47PPM, DAC3:256.00, 0.03PPM
2025-12-07T16:15:47,Index:88, DAC1:448, 0.62PPM, DAC2:448, 0.62PPM, DAC3:256.00, 0.03PPM
2025-12-07T16:15:48,Index:89, DAC1:464, 0.67PPM, DAC2:448, 0.62PPM, DAC3:256.00, 0.03PPM
2025-12-07T16:15:49,Index:90, DAC1:384, 0.42PPM, DAC2:432, 0.57PPM, DAC3:256.00, 0.03PPM
2025-12-07T16:15:50,Index:91, DAC1:656, 1.25PPM, DAC2:544, 0.91PPM, DAC3:256.00, 0.03PPM
2025-12-07T16:15:51,Index:92, DAC1:448, 0.62PPM, DAC2:448, 0.62PPM, DAC3:256.00, 0.03PPM
2025-12-07T16:15:52,Index:93, DAC1:480, 0.71PPM, DAC2:512, 0.81PPM, DAC3:256.00, 0.03PPM
2025-12-07T16:15:53,Index:94, DAC1:496, 0.76PPM, DAC2:464, 0.67PPM, DAC3:256.00, 0.03PPM
2025-12-07T16:15:54,Index:95, DAC1:464, 0.67PPM, DAC2:464, 0.67PPM, DAC3:256.00, 0.03PPM
2025-12-07T16:15:55,Index:96, DAC1:400, 0.47PPM, DAC2:512, 0.81PPM, DAC3:240.00, -0.02PPM
2025-12-07T16:15:56,Index:97, DAC1:528, 0.86PPM, DAC2:480, 0.71PPM, DAC3:256.00, 0.03PPM
2025-12-07T16:15:57,Index:98, DAC1:480, 0.71PPM, DAC2:480, 0.71PPM, DAC3:256.00, 0.03PPM
2025-12-07T16:15:58,Index:99, DAC1:480, 0.71PPM, DAC2:512, 0.81PPM, DAC3:256.00, 0.03PPM
2025-12-07T16:15:59,Index:100, DAC1:464, 0.67PPM, DAC2:464, 0.67PPM, DAC3:256.00, 0.03PPM
2025-12-07T16:16:00,Index:101, DAC1:720, 1.45PPM, DAC2:656, 1.25PPM, DAC3:256.00, 0.03PPM
2025-12-07T16:16:01,Index:102, DAC1:448, 0.62PPM, DAC2:448, 0.62PPM, DAC3:57902.00, 175.96PPM
2025-12-07T16:16:02,Index:103, DAC1:528, 0.86PPM, DAC2:480, 0.71PPM, DAC3:57870.00, 175.86PPM
2025-12-07T16:16:03,Index:104, DAC1:464, 0.67PPM, DAC2:480, 0.71PPM, DAC3:57886.00, 175.91PPM
2025-12-07T16:16:04,Index:105, DAC1:608, 1.11PPM, DAC2:528, 0.86PPM, DAC3:57838.00, 175.76PPM
2025-12-07T16:16:05,Index:106, DAC1:560, 0.96PPM, DAC2:432, 0.57PPM, DAC3:57822.00, 175.71PPM
2025-12-07T16:16:06,Index:107, DAC1:432, 0.57PPM, DAC2:432, 0.57PPM, DAC3:57902.00, 175.96PPM
