timestamp, volt1 V, volt2 V, H ppm1, H ppm2
2025-12-23T19:21:09,v1->0.0241703V,dac1->480, s1->0.000ppm  |  v2->0.0177249V,dac2->352, s2->0.000ppm
2025-12-23T19:21:11,v1->0.0233646V,dac1->464, s1->0.000ppm  |  v2->0.0193362V,dac2->384, s2->0.000ppm
2025-12-23T19:21:12,v1->0.0281987V,dac1->560, s1->41.802ppm  |  v2->0.0169192V,dac2->336, s2->0.000ppm
2025-12-23T19:21:13,v1->0.0233646V,dac1->464, s1->0.000ppm  |  v2->0.0169192V,dac2->336, s2->0.000ppm
2025-12-23T19:21:14,v1->0.0193362V,dac1->384, s1->0.000ppm  |  v2->0.0177249V,dac2->352, s2->0.000ppm
2025-12-23T19:21:15,v1->0.0241703V,dac1->480, s1->0.000ppm  |  v2->0.0193362V,dac2->384, s2->0.000ppm
2025-12-23T19:21:16,v1->0.0241703V,dac1->480, s1->0.000ppm  |  v2->0.0193362V,dac2->384, s2->0.000ppm
2025-12-23T19:21:17,v1->0.0257816V,dac1->512, s1->12.505ppm  |  v2->0.0161135V,dac2->320, s2->0.000ppm
2025-12-23T19:21:18,v1->0.0217533V,dac1->432, s1->0.000ppm  |  v2->0.0177249V,dac2->352, s2->0.000ppm
