timestamp, volt1 V, volt2 V, H ppm1, H ppm2
2025-12-05T16:40:41,Index:496, DAC1:8177, 24.20PPM, DAC2:528, 0.86PPM, DAC3:432.00, 0.57PPM
2025-12-05T16:40:43,Index:497, DAC1:9442, 28.07PPM, DAC2:448, 0.62PPM, DAC3:384.00, 0.42PPM
2025-12-05T16:40:44,Index:498, DAC1:15683, 47.11PPM, DAC2:528, 0.86PPM, DAC3:320.00, 0.23PPM
2025-12-05T16:40:45,Index:499, DAC1:14867, 44.62PPM, DAC2:464, 0.67PPM, DAC3:384.00, 0.42PPM
2025-12-05T16:40:46,Index:500, DAC1:13027, 39.01PPM, DAC2:448, 0.62PPM, DAC3:352.00, 0.32PPM
2025-12-05T16:40:47,Index:501, DAC1:7761, 22.94PPM, DAC2:496, 0.76PPM, DAC3:416.00, 0.52PPM
2025-12-05T16:40:48,Index:502, DAC1:8145, 24.11PPM, DAC2:480, 0.71PPM, DAC3:400.00, 0.47PPM
2025-12-05T16:40:49,Index:503, DAC1:9138, 27.14PPM, DAC2:512, 0.81PPM, DAC3:400.00, 0.47PPM
2025-12-05T16:40:50,Index:504, DAC1:14931, 44.82PPM, DAC2:464, 0.67PPM, DAC3:416.00, 0.52PPM
2025-12-05T16:40:51,Index:505, DAC1:15491, 46.53PPM, DAC2:464, 0.67PPM, DAC3:352.00, 0.32PPM
2025-12-05T16:40:52,Index:506, DAC1:14435, 43.30PPM, DAC2:464, 0.67PPM, DAC3:400.00, 0.47PPM
2025-12-05T16:40:53,Index:507, DAC1:10962, 32.70PPM, DAC2:464, 0.67PPM, DAC3:336.00, 0.28PPM
2025-12-05T16:40:54,Index:508, DAC1:7569, 22.35PPM, DAC2:480, 0.71PPM, DAC3:400.00, 0.47PPM
