timestamp, volt1 V, volt2 V, H ppm1, H ppm2
2025-12-23T13:28:22,Index:2165, DAC1:448, 0.62PPM, DAC2:10850, 32.36PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:28:24,Index:2166, DAC1:448, 0.62PPM, DAC2:10818, 32.26PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:28:25,Index:2167, DAC1:448, 0.62PPM, DAC2:10850, 32.36PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:28:26,Index:2168, DAC1:432, 0.57PPM, DAC2:10834, 32.31PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:28:27,Index:2169, DAC1:496, 0.76PPM, DAC2:10882, 32.46PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:28:28,Index:2170, DAC1:448, 0.62PPM, DAC2:10850, 32.36PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:28:29,Index:2171, DAC1:464, 0.67PPM, DAC2:10882, 32.46PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:28:30,Index:2172, DAC1:448, 0.62PPM, DAC2:10850, 32.36PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:28:31,Index:2173, DAC1:352, 0.32PPM, DAC2:10898, 32.51PPM, DAC3:240.00, -0.02PPM
2025-12-23T13:28:32,Index:2174, DAC1:448, 0.62PPM, DAC2:10850, 32.36PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:28:33,Index:2175, DAC1:640, 1.20PPM, DAC2:10930, 32.61PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:28:34,Index:2176, DAC1:320, 0.23PPM, DAC2:10914, 32.56PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:28:35,Index:2177, DAC1:400, 0.47PPM, DAC2:10882, 32.46PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:28:36,Index:2178, DAC1:480, 0.71PPM, DAC2:10882, 32.46PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:28:37,Index:2179, DAC1:448, 0.62PPM, DAC2:10882, 32.46PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:28:38,Index:2180, DAC1:432, 0.57PPM, DAC2:10914, 32.56PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:28:39,Index:2181, DAC1:384, 0.42PPM, DAC2:10898, 32.51PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:28:40,Index:2182, DAC1:480, 0.71PPM, DAC2:10930, 32.61PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:28:41,Index:2183, DAC1:464, 0.67PPM, DAC2:10930, 32.61PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:28:42,Index:2184, DAC1:416, 0.52PPM, DAC2:10946, 32.66PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:28:43,Index:2185, DAC1:448, 0.62PPM, DAC2:10946, 32.66PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:28:44,Index:2186, DAC1:400, 0.47PPM, DAC2:10962, 32.70PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:28:45,Index:2187, DAC1:432, 0.57PPM, DAC2:10962, 32.70PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:28:46,Index:2188, DAC1:464, 0.67PPM, DAC2:10962, 32.70PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:28:47,Index:2189, DAC1:432, 0.57PPM, DAC2:10978, 32.75PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:28:48,Index:2190, DAC1:400, 0.47PPM, DAC2:10962, 32.70PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:28:49,Index:2191, DAC1:464, 0.67PPM, DAC2:10962, 32.70PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:28:50,Index:2192, DAC1:608, 1.11PPM, DAC2:10978, 32.75PPM, DAC3:240.00, -0.02PPM
2025-12-23T13:28:51,Index:2193, DAC1:432, 0.57PPM, DAC2:10962, 32.70PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:28:52,Index:2194, DAC1:464, 0.67PPM, DAC2:11010, 32.85PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:28:53,Index:2195, DAC1:416, 0.52PPM, DAC2:10962, 32.70PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:28:54,Index:2196, DAC1:336, 0.28PPM, DAC2:10962, 32.70PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:28:55,Index:2197, DAC1:464, 0.67PPM, DAC2:10994, 32.80PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:28:56,Index:2198, DAC1:432, 0.57PPM, DAC2:10978, 32.75PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:28:57,Index:2199, DAC1:320, 0.23PPM, DAC2:10978, 32.75PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:28:58,Index:2200, DAC1:464, 0.67PPM, DAC2:10978, 32.75PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:28:59,Index:2201, DAC1:352, 0.32PPM, DAC2:11026, 32.90PPM, DAC3:240.00, -0.02PPM
2025-12-23T13:29:00,Index:2202, DAC1:448, 0.62PPM, DAC2:11026, 32.90PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:29:01,Index:2203, DAC1:432, 0.57PPM, DAC2:11010, 32.85PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:29:02,Index:2204, DAC1:416, 0.52PPM, DAC2:11010, 32.85PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:29:03,Index:2205, DAC1:352, 0.32PPM, DAC2:11010, 32.85PPM, DAC3:240.00, -0.02PPM
2025-12-23T13:29:04,Index:2206, DAC1:464, 0.67PPM, DAC2:11026, 32.90PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:29:05,Index:2207, DAC1:416, 0.52PPM, DAC2:11026, 32.90PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:29:06,Index:2208, DAC1:448, 0.62PPM, DAC2:11010, 32.85PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:29:07,Index:2209, DAC1:384, 0.42PPM, DAC2:11010, 32.85PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:29:08,Index:2210, DAC1:432, 0.57PPM, DAC2:11010, 32.85PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:29:09,Index:2211, DAC1:384, 0.42PPM, DAC2:11026, 32.90PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:29:11,Index:2212, DAC1:432, 0.57PPM, DAC2:11042, 32.95PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:29:12,Index:2213, DAC1:480, 0.71PPM, DAC2:11042, 32.95PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:29:13,Index:2214, DAC1:448, 0.62PPM, DAC2:11026, 32.90PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:29:14,Index:2215, DAC1:544, 0.91PPM, DAC2:11026, 32.90PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:29:15,Index:2216, DAC1:432, 0.57PPM, DAC2:11010, 32.85PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:29:16,Index:2217, DAC1:400, 0.47PPM, DAC2:11058, 33.00PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:29:17,Index:2218, DAC1:464, 0.67PPM, DAC2:11042, 32.95PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:29:18,Index:2219, DAC1:448, 0.62PPM, DAC2:11058, 33.00PPM, DAC3:240.00, -0.02PPM
2025-12-23T13:29:19,Index:2220, DAC1:480, 0.71PPM, DAC2:11042, 32.95PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:29:20,Index:2221, DAC1:432, 0.57PPM, DAC2:11042, 32.95PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:29:21,Index:2222, DAC1:432, 0.57PPM, DAC2:11042, 32.95PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:29:22,Index:2223, DAC1:448, 0.62PPM, DAC2:11058, 33.00PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:29:23,Index:2224, DAC1:432, 0.57PPM, DAC2:11042, 32.95PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:29:24,Index:2225, DAC1:464, 0.67PPM, DAC2:11058, 33.00PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:29:25,Index:2226, DAC1:448, 0.62PPM, DAC2:11058, 33.00PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:29:26,Index:2227, DAC1:464, 0.67PPM, DAC2:11058, 33.00PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:29:27,Index:2228, DAC1:432, 0.57PPM, DAC2:11074, 33.05PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:29:28,Index:2229, DAC1:448, 0.62PPM, DAC2:11090, 33.09PPM, DAC3:256.00, 0.03PPM
2025-12-23T13:29:29,Index:2230, DAC1:416, 0.52PPM, DAC2:11058, 33.00PPM, DAC3:256.00, 0.03PPM
