timestamp, volt1 V, volt2 V, H ppm1, H ppm2
2025-12-23T19:38:44,v1->0.0265873V,dac1->528, s1->22.270ppm  |  v2->0.0177249V,dac2->352, s2->0.000ppm
2025-12-23T19:38:45,v1->0.0201419V,dac1->400, s1->0.000ppm  |  v2->0.0177249V,dac2->352, s2->0.000ppm
2025-12-23T19:38:46,v1->0.0314214V,dac1->624, s1->80.865ppm  |  v2->0.0177249V,dac2->352, s2->0.000ppm
2025-12-23T19:38:47,v1->0.0257816V,dac1->512, s1->12.505ppm  |  v2->0.0169192V,dac2->336, s2->0.000ppm
2025-12-23T19:38:48,v1->0.0217533V,dac1->432, s1->0.000ppm  |  v2->0.0161135V,dac2->320, s2->0.000ppm
2025-12-23T19:38:49,v1->0.0257816V,dac1->512, s1->12.505ppm  |  v2->0.0193362V,dac2->384, s2->0.000ppm
2025-12-23T19:38:50,v1->0.0241703V,dac1->480, s1->0.000ppm  |  v2->0.0153078V,dac2->304, s2->0.000ppm
2025-12-23T19:38:51,v1->0.024976V,dac1->496, s1->2.739ppm  |  v2->0.0177249V,dac2->352, s2->0.000ppm
2025-12-23T19:38:52,v1->0.0225589V,dac1->448, s1->0.000ppm  |  v2->0.0169192V,dac2->336, s2->0.000ppm
2025-12-23T19:38:53,v1->0.0257816V,dac1->512, s1->12.505ppm  |  v2->0.0161135V,dac2->320, s2->0.000ppm
2025-12-23T19:38:54,v1->0.0257816V,dac1->512, s1->12.505ppm  |  v2->0.0112795V,dac2->224, s2->0.000ppm
2025-12-23T19:38:55,v1->0.0241703V,dac1->480, s1->0.000ppm  |  v2->0.0177249V,dac2->352, s2->0.000ppm
2025-12-23T19:38:56,v1->0.0225589V,dac1->448, s1->0.000ppm  |  v2->0.0169192V,dac2->336, s2->0.000ppm
2025-12-23T19:38:57,v1->0.0265873V,dac1->528, s1->22.270ppm  |  v2->0.0177249V,dac2->352, s2->0.000ppm
