Timestamp,DNEpct Cell 1 Temp,DNEpct Cell 3 Temp,DNEpct Cell 5 Temp,DNEpct Cell 7 Temp,35pct Cell 10 Temp,35pct Cell 12 Temp,30pct Cell 14 Temp,30pct Cell 16 Temp
09-05-2025-Fri 16-37-07-PM,19.651,20.158,20.101,20.608,19.415,19.482,19.482,20.513
09-05-2025-Fri 16-37-10-PM,19.6,20.09,20.034,20.585,19.358,19.392,19.448,20.478
09-05-2025-Fri 16-37-12-PM,19.516,20.045,20.034,20.529,19.268,19.369,19.403,20.411
09-05-2025-Fri 16-37-15-PM,19.398,19.921,19.955,20.473,19.167,19.291,19.347,20.36
09-05-2025-Fri 16-37-17-PM,19.364,19.921,19.932,20.416,19.11,19.234,19.302,20.276
09-05-2025-Fri 16-37-19-PM,19.229,19.82,19.899,20.394,18.998,19.178,19.279,20.242
09-05-2025-Fri 16-37-22-PM,19.128,19.752,19.842,20.315,18.897,19.111,19.201,20.158
09-05-2025-Fri 16-37-24-PM,19.077,19.741,19.831,20.293,18.852,19.088,19.178,20.124
09-05-2025-Fri 16-37-27-PM,18.942,19.651,19.786,20.214,18.716,19.009,19.11,20.023
09-05-2025-Fri 16-37-29-PM,18.857,19.595,19.741,20.169,18.638,18.953,19.054,19.972
09-05-2025-Fri 16-37-31-PM,18.756,19.538,19.718,20.124,18.536,18.908,19.02,19.921
09-05-2025-Fri 16-37-34-PM,18.672,19.471,19.674,20.079,18.447,18.841,18.976,19.871
09-05-2025-Fri 16-37-36-PM,18.621,19.437,19.617,20.022,18.39,18.773,18.919,19.803
09-05-2025-Fri 16-37-39-PM,18.469,19.324,19.572,19.966,18.267,18.717,18.875,19.736
09-05-2025-Fri 16-37-41-PM,18.351,19.28,19.55,19.921,18.154,18.672,18.818,19.685
09-05-2025-Fri 16-37-43-PM,18.233,19.167,19.482,19.865,18.042,18.582,18.773,19.617
09-05-2025-Fri 16-37-46-PM,18.182,19.144,19.448,19.82,17.985,18.537,18.728,19.567
09-05-2025-Fri 16-37-48-PM,18.115,19.1,19.403,19.764,17.907,18.469,18.661,19.499
09-05-2025-Fri 16-37-50-PM,17.963,18.976,19.359,19.708,17.783,18.413,18.616,19.432
09-05-2025-Fri 16-37-53-PM,17.98,18.987,19.313,19.662,17.772,18.357,18.57,19.381
09-05-2025-Fri 16-37-55-PM,17.845,18.886,19.268,19.606,17.648,18.289,18.514,19.313
09-05-2025-Fri 16-37-58-PM,17.76,18.807,19.212,19.55,17.558,18.21,18.469,19.246
09-05-2025-Fri 16-38-00-PM,17.642,18.739,19.19,19.516,17.456,18.165,18.436,19.195
09-05-2025-Fri 16-38-02-PM,17.575,18.728,19.156,19.449,17.389,18.131,18.368,19.128
09-05-2025-Fri 16-38-05-PM,17.474,18.638,19.111,19.392,17.288,18.064,18.323,19.06
09-05-2025-Fri 16-38-07-PM,17.305,18.48,19.032,19.358,17.142,17.963,18.289,19.026
09-05-2025-Fri 16-38-09-PM,17.288,18.514,19.009,19.291,17.108,17.94,18.221,18.959
09-05-2025-Fri 16-38-12-PM,17.187,18.436,18.976,19.246,17.018,17.884,18.188,18.891
09-05-2025-Fri 16-38-15-PM,17.086,18.368,18.942,19.201,16.917,17.828,18.131,18.841
09-05-2025-Fri 16-38-17-PM,16.951,18.256,18.875,19.145,16.793,17.738,18.075,18.773
09-05-2025-Fri 16-38-20-PM,16.9,18.21,18.829,19.088,16.737,17.682,18.031,18.706
09-05-2025-Fri 16-38-22-PM,16.799,18.121,18.751,19.021,16.647,17.603,17.963,18.638
09-05-2025-Fri 16-38-24-PM,16.715,18.075,18.728,18.965,16.557,17.558,17.918,18.571
09-05-2025-Fri 16-38-27-PM,16.613,17.985,18.683,18.92,16.456,17.49,17.873,18.52
09-05-2025-Fri 16-38-29-PM,16.563,17.952,18.638,18.863,16.411,17.445,17.839,18.453
09-05-2025-Fri 16-38-31-PM,16.495,17.918,18.615,18.818,16.332,17.4,17.782,18.402
09-05-2025-Fri 16-38-34-PM,16.394,17.817,18.548,18.762,16.242,17.322,17.727,18.335
09-05-2025-Fri 16-38-36-PM,16.327,17.794,18.537,18.706,16.175,17.299,17.682,18.267
09-05-2025-Fri 16-38-39-PM,16.242,17.704,18.458,18.661,16.084,17.198,17.626,18.216
09-05-2025-Fri 16-38-41-PM,16.158,17.603,18.402,18.616,15.995,17.119,17.592,18.166
09-05-2025-Fri 16-38-43-PM,16.107,17.603,18.379,18.56,15.949,17.097,17.535,18.098
09-05-2025-Fri 16-38-46-PM,15.972,17.479,18.323,18.514,15.826,17.018,17.49,18.048
09-05-2025-Fri 16-38-48-PM,15.955,17.468,18.278,18.469,15.803,16.973,17.445,17.997
09-05-2025-Fri 16-38-50-PM,15.837,17.412,18.289,18.424,15.691,16.962,17.411,17.946
09-05-2025-Fri 16-38-53-PM,15.77,17.277,18.176,18.379,15.624,16.827,17.367,17.879
09-05-2025-Fri 16-38-55-PM,15.719,17.277,18.165,18.312,15.567,16.815,17.31,17.811
09-05-2025-Fri 16-38-58-PM,15.669,17.22,18.12,18.256,15.5,16.748,17.254,17.743
09-05-2025-Fri 16-39-00-PM,15.568,17.141,18.064,18.222,15.421,16.692,17.22,17.71
09-05-2025-Fri 16-39-02-PM,15.483,17.063,18.03,18.154,15.331,16.635,17.164,17.625
09-05-2025-Fri 16-39-05-PM,15.483,17.052,17.974,18.109,15.309,16.579,17.119,17.592
09-05-2025-Fri 16-39-07-PM,15.348,16.962,17.94,18.053,15.185,16.523,17.063,17.524
09-05-2025-Fri 16-39-10-PM,15.281,16.86,17.85,17.997,15.118,16.422,17.018,17.457
09-05-2025-Fri 16-39-12-PM,15.23,16.849,17.85,17.963,15.061,16.411,16.984,17.423
09-05-2025-Fri 16-39-14-PM,15.146,16.782,17.794,17.896,14.983,16.343,16.928,17.339
09-05-2025-Fri 16-39-17-PM,15.096,16.737,17.772,17.862,14.926,16.298,16.894,17.288
09-05-2025-Fri 16-39-19-PM,15.045,16.681,17.716,17.806,14.859,16.231,16.849,17.238
09-05-2025-Fri 16-39-22-PM,14.927,16.579,17.648,17.76,14.769,16.174,16.804,17.204
09-05-2025-Fri 16-39-24-PM,14.826,16.501,17.625,17.704,14.679,16.129,16.759,17.119
09-05-2025-Fri 16-39-26-PM,14.826,16.478,17.58,17.67,14.646,16.062,16.714,17.086
09-05-2025-Fri 16-39-29-PM,14.758,16.444,17.546,17.591,14.578,16.028,16.658,17.001
09-05-2025-Fri 16-39-31-PM,14.674,16.388,17.502,17.547,14.511,15.983,16.613,16.95
09-05-2025-Fri 16-39-33-PM,14.623,16.298,17.434,17.513,14.454,15.904,16.591,16.917
09-05-2025-Fri 16-39-36-PM,14.59,16.264,17.389,17.457,14.398,15.837,16.523,16.849
09-05-2025-Fri 16-39-38-PM,14.523,16.22,17.355,17.412,14.342,15.803,16.489,16.798
