Cell 1 Current,Cell 1 Voltage,Cell 1 Temp,Cell 2 Current,Cell 2 Voltage,Cell 2 Temp,Cell 3 Current,Cell 3 Voltage,Cell 3 Temp,Cell 4 Current,Cell 4 Voltage,Cell 4 Temp,Cell 5 Current,Cell 5 Voltage,Cell 5 Temp,Cell 6 Current,Cell 6 Voltage,Cell 6 Temp,Cell 7 Current,Cell 7 Voltage,Cell 7 Temp,Cell 8 Current,Cell 8 Voltage,Cell 8 Temp,Cell 9 Current,Cell 9 Voltage,Cell 9 Temp,Cell 10 Current,Cell 10 Voltage,Cell 10 Temp,Cell 11 Current,Cell 11 Voltage,Cell 11 Temp,Cell 12 Current,Cell 12 Voltage,Cell 12 Temp,Cell 13 Current,Cell 13 Voltage,Cell 13 Temp,Cell 14 Current,Cell 14 Voltage,Cell 14 Temp,Cell 15 Current,Cell 15 Voltage,Cell 15 Temp,Cell 16 Current,Cell 16 Voltage,Cell 16 Temp
,,,,,,,,,,,,,,,,,,,,,,,,0.3,5.904,-67.4817,0.1,5.908,-61.62,0.3,5.916,-62.3223,0.2,5.912,-62.136,0.5,5.904,-66.0368,0.3,5.92,-71.32,0.2,5.908,-69.1227,0.3,5.908,-68.827
,,,,,,,,,,,,,,,,,,,,,,,,0.3,5.904,-67.4817,0.4,5.908,-61.642,0.2,5.912,-63.0129,0.2,5.908,-62.157,0.2,5.9,-66.0368,0.2,5.92,-71.342,0.5,5.908,-69.1883,0.3,5.908,-68.86
,,,,,,,,,,,,,,,,,,,,,,,,0.1,5.904,-67.5146,0.2,5.912,-61.642,0.3,5.908,-63.0459,0.2,5.908,-62.793,0.3,5.904,-66.0696,0.2,5.916,-72.39,0.4,5.908,-69.1883,0.2,5.908,-69.582
,,,,,,,,,,,,,,,,,,,,,,,,0.2,5.904,-67.8757,0.3,5.912,-61.697,0.1,5.908,-63.1117,0.3,5.912,-62.771,0.3,5.904,-66.6937,0.1,5.92,-72.401,0.2,5.908,-69.1883,0.3,5.912,-69.631
,,,,,,,,,,,,,,,,,,,,,,,,0.1,5.904,-67.9085,0.1,5.912,-62.103,0.0,5.912,-63.1774,0.4,5.908,-62.793,0.3,5.904,-66.6937,0.1,5.92,-72.423,0.1,5.904,-69.2211,0.4,5.912,-69.631
,,,,,,,,,,,,,,,,,,,,,,,,0.4,5.9,-67.9085,0.3,5.908,-62.125,0.2,5.912,-63.2432,0.3,5.908,-63.188,0.1,5.9,-66.6937,0.2,5.92,-72.456,0.2,5.904,-69.9099,0.3,5.912,-69.648
,,,,,,,,,,,,,,,,,,,,,,,,0.3,5.9,-67.9085,0.5,5.912,-62.125,0.1,5.908,-63.9337,0.3,5.908,-63.221,0.2,5.904,-67.4161,0.1,5.916,-72.478,0.3,5.908,-69.9099,0.2,5.912,-69.664
,,,,,,,,,,,,,,,,,,,,,,,,0.5,5.904,-67.9413,0.4,5.908,-62.125,0.2,5.912,-63.9666,0.1,5.912,-63.243,0.2,5.908,-67.4161,0.1,5.92,-72.489,0.3,5.904,-69.9429,0.4,5.912,-70.435
,,,,,,,,,,,,,,,,,,,,,,,,0.2,5.9,-68.0726,0.3,5.908,-62.114,0.3,5.912,-63.9993,0.5,5.908,-63.265,0.2,5.908,-67.4488,0.0,5.916,-72.532,0.2,5.908,-69.9099,0.0,5.912,-70.451
,,,,,,,,,,,,,,,,,,,,,,,,0.2,5.904,-68.1053,0.3,5.908,-62.136,0.2,5.912,-64.6239,0.3,5.912,-63.298,0.2,5.908,-67.4817,0.3,5.916,-72.554,0.2,5.904,-70.0412,0.3,5.912,-70.468
,,,,,,,,,,,,,,,,,,,,,,,,0.4,5.9,-68.1053,0.3,5.908,-62.147,0.6,5.912,-64.6239,0.1,5.908,-63.32,0.2,5.908,-67.5146,0.1,5.916,-73.188,0.3,5.904,-70.0739,0.2,5.912,-70.467
,,,,,,,,,,,,,,,,,,,,,,,,0.4,5.904,-68.1053,0.3,5.908,-62.3,0.3,5.908,-64.6567,0.1,5.908,-63.878,0.0,5.908,-68.3351,0.1,5.92,-73.199,0.3,5.908,-70.1068,0.2,5.912,-70.582
