Cell 1 Current,Cell 1 Voltage,Cell 2 Current,Cell 2 Voltage,Cell 3 Current,Cell 3 Voltage,Cell 4 Current,Cell 4 Voltage,Cell 5 Current,Cell 5 Voltage,Cell 6 Current,Cell 6 Voltage,Cell 7 Current,Cell 7 Voltage,Cell 8 Current,Cell 8 Voltage,Cell 9 Current,Cell 9 Voltage,Cell 10 Current,Cell 10 Voltage,Cell 11 Current,Cell 11 Voltage,Cell 12 Current,Cell 12 Voltage,Cell 13 Current,Cell 13 Voltage,Cell 14 Current,Cell 14 Voltage,Cell 15 Current,Cell 15 Voltage,Cell 16 Current,Cell 16 Voltage,Cell 2 Temp,Cell 4 Temp,Cell 6 Temp,Cell 8 Temp,Cell 9 Temp,Cell 11 Temp,Cell 13 Temp,Cell 15 Temp,Timestamp,Cell 1 Temp,Cell 3 Temp,Cell 5 Temp,Cell 7 Temp,Cell 10 Temp,Cell 12 Temp,Cell 14 Temp,Cell 16 Temp
,,,,,,,,,,,,,,,,90.7,5.636,88.1,5.64,112.8,5.628,105.4,5.684,92.8,5.592,126.0,5.652,100.9,5.58,108.4,5.584,16.0058,16.8493,17.9967,17.558,10.713,12.9369,14.8923,14.3867,142,13.359,15.264,16.579,16.647,13.219,14.893,15.759,15.972
,,,,,,,,,,,,,,,,88.4,5.64,86.8,5.648,110.1,5.64,103.8,5.688,90.7,5.604,123.3,5.664,99.7,5.588,106.5,5.588,16.0389,16.8154,17.8612,17.5911,10.713,12.8023,15.0269,14.2182,143,13.376,15.219,16.568,16.557,13.185,14.882,15.702,15.905
,,,,,,,,,,,,,,,,87.4,5.644,85.8,5.652,108.9,5.64,103.0,5.696,89.9,5.608,121.4,5.668,98.5,5.592,105.2,5.588,16.0058,16.7815,17.929,17.4226,10.6792,12.7684,15.0947,14.0497,144,13.343,15.185,16.602,16.467,13.151,14.882,15.691,15.736
,,,,,,,,,,,,,,,,86.6,5.648,84.9,5.652,108.1,5.64,102.1,5.696,89.1,5.612,120.3,5.668,97.5,5.596,104.4,5.592,16.0389,16.6799,17.8951,17.3887,10.6122,12.6676,15.2293,14.1505,145,13.326,15.129,16.601,16.478,13.106,14.859,15.758,15.77
,,,,,,,,,,,,,,,,85.9,5.652,84.5,5.652,107.0,5.644,101.1,5.696,88.5,5.612,119.0,5.668,96.7,5.6,103.4,5.596,15.9712,16.7138,17.8612,17.4565,10.5445,12.7007,15.0608,14.2182,146,13.258,15.129,16.545,16.512,13.072,14.825,15.713,15.837
,,,,,,,,,,,,,,,,84.8,5.652,82.4,5.656,106.8,5.648,101.6,5.696,89.3,5.612,119.1,5.672,94.3,5.6,101.0,5.6,15.2632,16.2082,17.5234,16.7138,10.0059,12.1951,14.7576,13.5102,157,12.635,14.556,16.163,15.916,12.488,14.387,15.264,15.112
,,,,,,,,,,,,,,,,83.6,5.656,82.1,5.66,105.1,5.656,100.3,5.7,87.8,5.62,117.1,5.676,93.9,5.604,100.1,5.604,15.2971,16.2082,17.3887,16.5791,10.0059,12.1282,14.5883,13.5102,158,12.652,14.544,16.062,15.826,12.477,14.308,15.162,15.045
,,,,,,,,,,,,,,,,83.1,5.66,82.1,5.664,104.1,5.652,99.9,5.704,87.1,5.62,116.2,5.676,93.7,5.608,99.5,5.604,15.2971,16.2082,17.3887,16.5453,9.90427,12.0604,14.6222,13.5771,159,12.601,14.522,16.073,15.837,12.421,14.297,15.196,15.061
,,,,,,,,,,,,,,,,83.4,5.66,81.0,5.668,105.2,5.656,100.6,5.704,88.5,5.62,118.0,5.676,93.2,5.608,99.0,5.604,14.5552,15.4995,16.7138,15.3648,9.06326,11.2186,14.0497,12.9708,179,11.809,13.758,15.421,15.016,11.612,13.589,14.578,14.168
,,,,,,,,,,,,,,,,81.6,5.664,81.0,5.672,103.0,5.66,99.2,5.708,87.3,5.624,115.6,5.68,91.8,5.612,98.3,5.612,14.4536,15.4317,16.6799,15.3309,9.09632,11.1847,13.8803,12.7345,180,11.775,13.69,15.331,14.915,11.578,13.499,14.432,14.033
,,,,,,,,,,,,,,,,81.0,5.664,81.0,5.668,102.2,5.66,98.5,5.712,86.5,5.628,114.1,5.684,91.1,5.616,97.5,5.616,14.4536,15.4317,16.6461,15.3648,9.06326,11.1509,13.7126,12.9369,181,11.758,13.679,15.263,14.983,11.556,13.432,14.432,14.151
,,,,,,,,,,,,,,,,81.7,5.668,79.3,5.668,103.0,5.66,98.9,5.704,87.6,5.628,116.4,5.684,91.6,5.616,97.0,5.616,13.5771,14.5214,16.0058,14.0497,8.15371,10.3421,13.2062,12.1951,204,10.865,12.814,14.578,14.084,10.691,12.69,13.802,13.122
,,,,,,,,,,,,,,,,80.4,5.668,78.9,5.676,101.1,5.664,97.4,5.712,86.0,5.632,113.9,5.688,90.6,5.62,96.3,5.62,13.5771,14.5552,15.8365,14.0158,8.18757,10.3091,13.1054,12.0604,205,10.882,12.814,14.499,13.971,10.691,12.657,13.667,13.038
,,,,,,,,,,,,,,,,80.2,5.676,76.8,5.68,99.3,5.668,96.0,5.72,84.5,5.636,114.5,5.692,89.8,5.624,95.1,5.624,11.1847,12.4983,13.7126,11.4541,6.60634,8.62542,11.3194,10.4098,278,8.896,10.769,12.51,11.859,8.805,10.814,11.814,10.932
,,,,,,,,,,,,,,,,78.5,5.68,74.1,5.688,97.7,5.672,94.7,5.72,83.7,5.64,112.1,5.696,88.6,5.632,92.6,5.628,10.6792,11.9596,13.274,10.8477,6.37089,8.25531,10.9154,10.0059,299,8.525,10.298,12.05,11.376,8.435,10.377,11.398,10.427
,,,,,,,,,,,,,,,,77.5,5.684,74.3,5.692,96.2,5.68,93.8,5.724,82.4,5.648,109.8,5.7,87.9,5.632,91.6,5.636,10.6792,11.9935,13.1732,10.8477,6.40395,8.25531,10.8138,9.93814,300,8.542,10.309,11.994,11.32,8.446,10.354,11.308,10.393
,,,,,,,,,,,,,,,,76.8,5.684,74.8,5.688,95.6,5.684,93.1,5.724,81.8,5.644,108.6,5.7,87.5,5.636,91.4,5.636,10.6453,11.9935,13.2062,10.7469,6.37089,8.32223,10.9823,10.0059,301,8.508,10.32,12.061,11.32,8.446,10.433,11.398,10.376
,,,,,,,,,,,,,,,,76.0,5.684,74.7,5.688,94.6,5.68,92.4,5.728,81.5,5.648,107.6,5.704,87.2,5.636,90.8,5.636,10.6792,11.9596,13.1732,10.8816,6.40395,8.28917,10.8138,9.93814,302,8.542,10.309,11.982,11.331,8.457,10.354,11.308,10.41
,,,,,,,,,,,,,,,,75.8,5.684,74.5,5.692,94.3,5.684,92.0,5.728,81.4,5.648,107.2,5.704,86.9,5.64,90.2,5.64,10.6792,11.9596,13.1054,10.8138,6.37089,8.15371,10.9823,10.0059,303,8.525,10.264,12.016,11.308,8.401,10.365,11.365,10.41
,,,,,,,,,,,,,,,,76.3,5.688,74.4,5.696,94.4,5.684,92.2,5.728,81.3,5.648,107.2,5.704,86.8,5.64,89.6,5.64,9.87121,11.2517,12.4313,9.972,6.06771,7.71667,10.3421,9.56803,337,7.969,9.613,11.342,10.657,7.885,9.77,10.78,9.77
,,,,,,,,,,,,,,,,77.9,5.688,73.1,5.696,93.9,5.688,91.8,5.728,81.2,5.652,108.7,5.704,87.7,5.644,90.1,5.64,8.72621,10.1067,11.2186,8.69234,5.56374,6.97645,9.06326,8.79313,404,7.145,8.603,10.13,9.568,7.089,8.715,9.692,8.743
,,,,,,,,,,,,,,,,76.6,5.692,73.4,5.7,92.7,5.692,90.8,5.732,80.2,5.656,106.2,5.712,86.3,5.644,88.6,5.644,8.79313,10.0059,11.1847,8.62542,5.59761,7.00951,9.16405,8.62542,405,7.195,8.603,10.118,9.479,7.133,8.726,9.658,8.625
,,,,,,,,,,,,,,,,77.8,5.688,71.4,5.696,92.7,5.688,90.1,5.732,80.1,5.656,107.1,5.708,88.0,5.644,89.0,5.648,7.81746,8.9286,10.1067,7.74973,5.19363,6.37089,8.42302,7.54815,479,6.506,7.706,9.153,8.468,6.461,7.908,8.693,7.649
,,,,,,,,,,,,,,,,76.3,5.696,71.6,5.7,91.4,5.696,89.4,5.736,79.5,5.66,104.7,5.712,85.5,5.648,87.8,5.648,7.85133,8.9286,10.1067,7.7836,5.2275,6.33702,8.18757,7.71667,480,6.539,7.706,9.074,8.536,6.472,7.818,8.67,7.75
,,,,,,,,,,,,,,,,75.3,5.696,72.5,5.7,90.6,5.696,88.7,5.74,78.9,5.66,103.1,5.716,84.6,5.652,87.1,5.648,7.7836,8.99553,10.1067,7.7836,5.2275,6.37089,8.28917,7.95212,481,6.506,7.717,9.13,8.614,6.461,7.885,8.783,7.868
,,,,,,,,,,,,,,,,74.8,5.7,72.5,5.708,89.5,5.692,88.1,5.74,78.4,5.668,102.1,5.716,83.8,5.652,86.2,5.652,7.85133,8.99553,10.1744,7.81746,5.2275,6.37089,8.32223,7.95212,482,6.539,7.739,9.164,8.648,6.483,7.896,8.816,7.885
,,,,,,,,,,,,,,,,77.8,5.696,69.7,5.704,91.8,5.696,88.1,5.74,78.5,5.66,105.2,5.712,88.4,5.644,88.6,5.648,6.40395,7.27883,8.28917,6.43782,4.99205,5.63067,7.00951,6.87566,660,5.698,6.438,7.526,7.201,5.676,6.64,7.391,6.657
,,,,,,,,,,,,,,,,76.3,5.7,69.8,5.708,89.8,5.7,87.6,5.74,76.9,5.668,102.7,5.716,86.3,5.652,87.4,5.652,6.50474,7.41349,8.15371,6.43782,4.92432,5.56374,6.84179,6.70713,661,5.715,6.494,7.47,7.1,5.664,6.606,7.234,6.572
,,,,,,,,,,,,,,,,76.9,5.74,71.6,5.744,90.5,5.74,88.3,5.776,77.7,5.708,102.8,5.756,86.0,5.692,87.7,5.692,6.50474,7.38043,8.25531,6.37089,4.92432,5.66454,7.17804,6.87566,662,5.715,6.517,7.605,7.167,5.698,6.741,7.436,6.623
,,,,,,,,,,,,,,,,75.6,5.688,68.6,5.692,88.8,5.684,85.9,5.724,78.2,5.648,102.5,5.704,86.5,5.636,86.6,5.64,5.93386,6.70713,7.38043,5.89999,4.48728,5.09284,6.50474,6.2701,764,5.211,5.911,6.864,6.517,5.171,6.102,6.718,6.085
,,,,,,,,,,,,,,,,74.0,5.692,68.5,5.696,87.7,5.692,85.4,5.732,77.1,5.66,100.1,5.708,84.5,5.648,86.0,5.648,5.83226,6.60634,7.41349,6.03465,4.48728,5.02511,6.47168,6.2701,765,5.16,5.821,6.831,6.573,5.115,6.034,6.718,6.152
