Cell 1 Current,Cell 1 Voltage,Cell 2 Current,Cell 2 Voltage,Cell 3 Current,Cell 3 Voltage,Cell 4 Current,Cell 4 Voltage,Cell 5 Current,Cell 5 Voltage,Cell 6 Current,Cell 6 Voltage,Cell 7 Current,Cell 7 Voltage,Cell 8 Current,Cell 8 Voltage,Cell 9 Current,Cell 9 Voltage,Cell 10 Current,Cell 10 Voltage,Cell 11 Current,Cell 11 Voltage,Cell 12 Current,Cell 12 Voltage,Cell 13 Current,Cell 13 Voltage,Cell 14 Current,Cell 14 Voltage,Cell 15 Current,Cell 15 Voltage,Cell 16 Current,Cell 16 Voltage,Cell 2 Temp,Cell 4 Temp,Cell 6 Temp,Cell 8 Temp,Cell 9 Temp,Cell 11 Temp,Cell 13 Temp,Cell 15 Temp,Timestamp,Cell 1 Temp,Cell 3 Temp,Cell 5 Temp,Cell 7 Temp,Cell 10 Temp,Cell 12 Temp,Cell 14 Temp,Cell 16 Temp
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5963,21.1035,20.9342,22.2526,19.4481,19.786,18.6716,20.0561,34,20.022,20.495,20.236,21.081,19.943,19.854,19.887,21.154
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6979,21.1704,20.9681,22.1848,19.5836,19.8198,18.7055,20.1577,35,20.141,20.563,20.281,21.104,20.034,19.899,19.944,21.171
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5625,21.1374,20.8665,22.151,19.5158,19.786,18.5031,19.8876,36,20.039,20.495,20.169,20.968,19.955,19.809,19.752,21.019
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6641,21.1704,20.9003,22.151,19.5158,19.786,18.5031,19.8876,37,20.09,20.54,20.191,20.98,19.989,19.82,19.764,21.019
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6979,21.2382,20.9342,22.1171,19.5158,19.786,18.5031,19.8876,38,20.107,20.574,20.225,20.98,20.0,19.842,19.775,21.002
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6979,21.1035,20.9003,22.151,19.5158,19.8198,18.5361,19.8537,39,20.107,20.54,20.18,20.968,20.011,19.82,19.763,21.002
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6302,21.2382,20.8665,22.1171,19.482,19.8198,18.5031,19.8876,40,20.056,20.563,20.203,20.957,19.977,19.854,19.752,21.002
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6641,21.2382,20.9003,22.1171,19.5158,19.786,18.5031,19.8537,41,20.09,20.563,20.214,20.957,19.989,19.842,19.752,20.985
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6979,21.1374,20.9003,22.1171,19.482,19.786,18.5361,19.8537,42,20.09,20.54,20.191,20.957,19.989,19.82,19.763,20.985
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5625,21.2051,20.9003,22.0832,19.5158,19.8198,18.5361,19.8537,43,20.039,20.529,20.214,20.946,19.966,19.854,19.763,20.968
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5963,21.2382,20.9003,22.1171,19.482,19.786,18.5361,19.8876,44,20.039,20.54,20.225,20.968,19.955,19.853,19.775,21.002
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5963,21.1035,20.9003,22.0832,19.5158,19.7521,18.57,19.8198,45,20.056,20.484,20.191,20.934,19.955,19.809,19.763,20.952
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6979,21.2051,20.8665,22.1171,19.482,19.7182,18.57,19.8198,46,20.09,20.54,20.214,20.934,19.966,19.831,19.752,20.968
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5286,21.0358,20.9003,22.1171,19.482,19.7182,18.57,19.8198,47,20.005,20.428,20.169,20.946,19.91,19.775,19.763,20.968
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5286,21.2051,20.9003,22.0832,19.482,19.6844,18.57,19.8198,48,20.005,20.473,20.225,20.934,19.898,19.82,19.763,20.952
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6641,21.1374,20.8665,22.0832,19.4481,19.6505,18.57,19.786,49,20.056,20.484,20.191,20.912,19.921,19.786,19.741,20.935
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5963,21.2051,20.8665,22.0832,19.4481,19.6166,18.57,19.786,50,20.022,20.473,20.214,20.912,19.887,19.797,19.741,20.935
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5963,21.1035,20.9003,22.0832,19.4142,19.5836,18.57,19.7521,51,20.005,20.428,20.191,20.912,19.865,19.752,19.741,20.918
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6302,21.1704,20.8665,22.0494,19.3804,19.5158,18.57,19.7182,52,20.005,20.439,20.202,20.878,19.842,19.752,19.718,20.884
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6641,21.1035,20.8665,22.0155,19.3465,19.482,18.57,19.6505,53,20.005,20.417,20.18,20.844,19.831,19.719,19.696,20.833
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5963,21.1374,20.8665,22.0494,19.2796,19.4142,18.57,19.6505,54,19.938,20.383,20.191,20.855,19.763,19.707,19.696,20.85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5963,21.0697,20.8665,22.0155,19.178,19.3126,18.5031,19.5158,55,19.887,20.326,20.146,20.799,19.696,19.628,19.628,20.766
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4955,21.0697,20.8326,21.9816,19.1103,19.2457,18.5361,19.4481,56,19.803,20.27,20.146,20.754,19.617,19.617,19.606,20.715
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5625,21.0019,20.8326,21.9478,18.9756,19.1103,18.4684,19.3804,57,19.769,20.225,20.101,20.72,19.549,19.527,19.56,20.664
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4617,21.0019,20.7995,21.9139,18.9079,19.0433,18.4684,19.2796,58,19.685,20.169,20.09,20.664,19.471,19.505,19.516,20.597
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4955,21.0358,20.7995,21.847,18.8071,18.9417,18.4684,19.178,59,19.651,20.158,20.101,20.608,19.415,19.482,19.482,20.513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4955,20.9003,20.7995,21.8123,18.7055,18.874,18.4015,19.1441,60,19.6,20.09,20.034,20.585,19.358,19.392,19.448,20.478
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4278,20.9342,20.7657,21.7792,18.6039,18.7724,18.4015,19.0433,61,19.516,20.045,20.034,20.529,19.268,19.369,19.403,20.411
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2593,20.7995,20.6979,21.7454,18.5361,18.7055,18.3676,18.9756,62,19.398,19.921,19.955,20.473,19.167,19.291,19.347,20.36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3939,20.7657,20.6979,21.6776,18.3337,18.6039,18.3337,18.874,63,19.364,19.921,19.932,20.416,19.11,19.234,19.302,20.276
